"AnonID","State","Completed","Time.taken","Grade.100.00","Q1..5.00","Q2..5.00","Q3..5.00","Q4..5.00","Q5..5.00","Q6..5.00","Q7..5.00","Q8..5.00","Q9..5.00","Q10..5.00","Q11..5.00","Q12..5.00","Q13..5.00","Q14..5.00","Q15..5.00","Q16..5.00","Q17..5.00","Q18..5.00","Q19..5.00","Q20..5.00"
"Se426a39e","Finished","18 August 2020  11:45 AM","1 hour 30 mins","28.00","2.50","-","1.00","5.00","-","-","-","-","-","-","2.00","-","-","-","2.50","5.00","5.00","5.00","0.00","0.00"
"S7678b4c6","Finished","18 August 2020  11:46 AM","1 hour 20 mins","54.63","5.00","5.00","5.00","5.00","2.00","0.00","0.00","5.00","5.00","0.63","-","0.00","2.00","0.00","5.00","5.00","5.00","5.00","0.00","0.00"
"Sefb7099c","Finished","18 August 2020  12:50 PM","1 hour 4 mins","77.50","5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","5.00","2.50","5.00","5.00","0.00","0.00","5.00","5.00","5.00","0.00","5.00","5.00"
"S7bc540de","Finished","18 August 2020  2:15 PM","1 hour 23 mins","92.50","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","2.50","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00"
"S513f9239","Finished","18 August 2020  3:12 PM","1 hour 30 mins","85.75","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","3.75","2.00","5.00","5.00","0.00","0.00","5.00","5.00","5.00","5.00","5.00"
"S3715fd87","Finished","18 August 2020  3:38 PM","1 hour 30 mins","100.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"Sba645ac3","Finished","18 August 2020  3:59 PM","1 hour 23 mins","78.00","5.00","5.00","4.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","2.00","2.00","0.00","5.00","5.00","0.00","5.00","5.00"
"S81775621","Finished","18 August 2020  3:42 PM","1 hour","62.63","5.00","0.00","5.00","5.00","2.00","5.00","0.00","5.00","0.00","0.63","-","5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","0.00"
"Sde9e7e30","Finished","18 August 2020  4:26 PM","1 hour 14 mins","57.00","5.00","0.00","5.00","5.00","0.00","-","-","5.00","5.00","-","-","5.00","5.00","2.00","5.00","5.00","5.00","5.00","-","-"
"S2ff0ae5d","Finished","18 August 2020  4:25 PM","1 hour 9 mins","97.50","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","2.50","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"Sf4e0ef99","Finished","18 August 2020  4:31 PM","1 hour 4 mins","89.00","5.00","5.00","5.00","0.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","4.00","5.00","5.00","5.00","5.00","5.00","5.00"
"Scf813a8e","Finished","18 August 2020  5:01 PM","1 hour 25 mins","61.50","0.00","5.00","5.00","5.00","-","0.00","5.00","5.00","2.50","0.00","5.00","5.00","2.00","2.00","5.00","5.00","5.00","5.00","0.00","0.00"
"S5e2369a3","Finished","18 August 2020  4:35 PM","53 mins 35 secs","69.00","5.00","5.00","4.00","0.00","5.00","5.00","5.00","5.00","0.00","2.50","5.00","1.00","5.00","4.00","2.50","5.00","5.00","0.00","5.00","0.00"
"S9601b312","Finished","18 August 2020  4:49 PM","1 hour 2 mins","89.50","5.00","5.00","5.00","5.00","2.00","5.00","0.00","5.00","5.00","2.50","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"Sc3b1d6de","Finished","18 August 2020  5:23 PM","1 hour 7 mins","95.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"Sb68ad2d5","Finished","18 August 2020  5:49 PM","1 hour 13 mins","89.00","5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00"
"S90193964","Finished","18 August 2020  6:46 PM","1 hour 29 mins","54.00","5.00","5.00","5.00","5.00","2.00","5.00","0.00","5.00","5.00","-","2.00","0.00","-","-","5.00","5.00","5.00","0.00","-","-"
"S3dc133c0","Finished","18 August 2020  7:29 PM","1 hour 13 mins","78.88","5.00","5.00","5.00","5.00","0.00","5.00","0.00","5.00","-","1.88","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"Sc2624007","Finished","18 August 2020  8:41 PM","1 hour 30 mins","62.50","2.50","5.00","5.00","5.00","-","5.00","0.00","0.00","5.00","-","5.00","5.00","5.00","5.00","5.00","5.00","0.00","0.00","-","5.00"
"S95c4fa07","Finished","18 August 2020  8:21 PM","1 hour 2 mins","95.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00"
"Sf2df8f9b","Finished","18 August 2020  9:20 PM","1 hour 20 mins","64.50","5.00","0.00","3.00","5.00","2.00","5.00","0.00","5.00","2.50","1.25","5.00","5.00","5.00","2.00","3.75","5.00","5.00","5.00","0.00","0.00"
"S0c26c2f1","Finished","18 August 2020  10:58 PM","1 hour 29 mins","74.63","5.00","5.00","5.00","5.00","2.00","5.00","0.00","5.00","5.00","1.88","5.00","5.00","2.00","5.00","3.75","5.00","5.00","5.00","-","-"
"Sd17b64ac","Finished","18 August 2020  11:03 PM","1 hour 30 mins","73.88","5.00","5.00","3.00","5.00","2.00","5.00","0.00","5.00","5.00","1.88","2.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00","0.00"
"S5142ad91","Finished","18 August 2020  11:03 PM","1 hour 30 mins","40.25","5.00","0.00","1.00","5.00","0.00","-","0.00","0.00","2.50","1.25","5.00","5.00","2.00","1.00","2.50","0.00","5.00","0.00","0.00","5.00"
"S49c38644","Finished","18 August 2020  11:23 PM","1 hour 29 mins","49.50","5.00","0.00","1.00","-","2.00","0.00","0.00","5.00","2.50","1.25","2.00","5.00","5.00","2.00","3.75","5.00","5.00","5.00","-","-"
"S235f5e88","Finished","19 August 2020  3:18 AM","1 hour 20 mins","88.75","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","3.75","5.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00","-","5.00"
"S124fc907","Finished","19 August 2020  3:33 AM","1 hour 20 mins","92.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S2dc7cea3","Finished","19 August 2020  5:00 AM","1 hour 39 mins","54.00","5.00","5.00","5.00","5.00","2.00","-","0.00","5.00","5.00","-","-","5.00","5.00","2.00","5.00","-","-","5.00","-","-"
"Sc491d2ac","Finished","19 August 2020  6:05 AM","44 mins 58 secs","90.50","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","2.50","5.00","5.00","4.00","5.00","4.00","0.00","5.00","5.00","5.00","5.00","5.00"
"S6817db2c","Finished","19 August 2020  7:46 AM","58 mins 17 secs","83.50","5.00","0.00","4.00","5.00","2.00","5.00","0.00","5.00","2.50","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"Sdb814a35","Finished","19 August 2020  8:24 AM","1 hour 28 mins","82.00","5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","2.00","0.00","5.00","5.00","5.00","5.00","5.00"
"S26fc86c8","Finished","19 August 2020  10:09 AM","1 hour 24 mins","84.50","5.00","5.00","5.00","5.00","2.00","5.00","0.00","5.00","2.50","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S298ff044","Finished","19 August 2020  10:05 AM","1 hour 15 mins","63.38","5.00","0.00","5.00","5.00","2.00","0.00","0.00","5.00","2.50","1.88","2.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00","0.00"
"S127f4626","Finished","19 August 2020  11:34 AM","1 hour 8 mins","85.00","5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","2.50","2.50","5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00"
"S6960a3a3","Finished","19 August 2020  11:52 AM","1 hour 18 mins","69.75","2.50","5.00","5.00","5.00","-","5.00","5.00","0.00","5.00","1.25","5.00","5.00","5.00","1.00","0.00","5.00","5.00","5.00","5.00","0.00"
