"AnonID","State","Completed","Time.taken","Grade.100.00","Q1..5.00","Q2..5.00","Q3..5.00","Q4..5.00","Q5..5.00","Q6..5.00","Q7..5.00","Q8..5.00","Q9..5.00","Q10..5.00","Q11..5.00","Q12..5.00","Q13..5.00","Q14..5.00","Q15..5.00","Q16..5.00","Q17..5.00","Q18..5.00","Q19..5.00","Q20..5.00"
"S7d10e055","Finished","18 August 2021  12:00 AM","42 mins 20 secs",98.75,"5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","3.75","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S08060736","Finished","18 August 2021  12:50 AM","1 hour 29 mins",81,"5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","2.50","2.50","5.00","5.00","5.00","1.00","5.00","5.00","5.00","5.00","5.00","0.00"
"Sc33b8554","Finished","18 August 2021  5:57 AM","44 mins 34 secs",95,"5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"Sda399ea7","Finished","18 August 2021  8:50 AM","34 mins 40 secs",92,"5.00","5.00","5.00","5.00","2.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S61de803d","Finished","18 August 2021  9:38 AM","1 hour 20 mins",95,"5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00"
"Sf40c549b","Finished","18 August 2021  10:43 AM","1 hour 30 mins",60,"5.00","5.00","4.00","5.00","2.00","-","-","5.00","-","-","2.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","-","-"
"Sc348ebc1","Finished","18 August 2021  9:58 AM","43 mins 42 secs",88.5,"5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","2.50","5.00","5.00","5.00","5.00","1.00","0.00","5.00","5.00","5.00","5.00","5.00"
"S2be1c267","Finished","18 August 2021  10:43 AM","1 hour 20 mins",21,"0.00","0.00","2.00","-","-","-","-","0.00","0.00","-","-","0.00","2.00","2.00","-","5.00","5.00","5.00","-","0.00"
"Sb91be41c","Finished","18 August 2021  12:37 PM","1 hour 23 mins",17,"2.50","5.00","2.00","0.00","-","-","0.00","0.00","2.50","-","-","-","0.00","-","-","5.00","0.00","0.00","-","-"
"Sb6cbbc71","Finished","18 August 2021  1:09 PM","1 hour 26 mins",53.5,"5.00","0.00","4.00","5.00","-","-","0.00","5.00","2.50","-","-","5.00","5.00","2.00","5.00","5.00","5.00","5.00","0.00","0.00"
"S7dd11245","Finished","18 August 2021  1:19 PM","1 hour 29 mins",38.5,"0.00","0.00","5.00","5.00","2.00","5.00","0.00","0.00","2.50","0.00","-","5.00","2.00","2.00","-","5.00","5.00","0.00","-","0.00"
"S6416c0ef","Finished","18 August 2021  1:20 PM","1 hour 29 mins",81.5,"5.00","5.00","5.00","5.00","0.00","5.00","0.00","5.00","5.00","5.00","4.00","5.00","5.00","5.00","2.50","5.00","5.00","5.00","0.00","5.00"
"Sbc86df46","Finished","18 August 2021  2:09 PM","1 hour 11 mins",69.25,"5.00","5.00","4.00","5.00","-","5.00","0.00","0.00","5.00","1.25","5.00","5.00","2.00","2.00","5.00","5.00","5.00","5.00","5.00","0.00"
"Sf828bd40","Finished","18 August 2021  2:28 PM","1 hour 25 mins",69,"5.00","5.00","5.00","5.00","2.00","5.00","0.00","5.00","5.00","0.00","2.00","5.00","5.00","0.00","0.00","0.00","5.00","5.00","5.00","5.00"
"Sf88452c1","Finished","18 August 2021  2:00 PM","47 mins 20 secs",78.25,"5.00","5.00","3.00","5.00","2.00","5.00","0.00","5.00","2.50","3.75","5.00","5.00","5.00","2.00","0.00","5.00","5.00","5.00","5.00","5.00"
"S8145c4c0","Finished","18 August 2021  2:40 PM","1 hour 17 mins",81,"0.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","2.50","2.50","2.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S8c3f1f65","Finished","18 August 2021  2:54 PM","1 hour 25 mins",77.25,"5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","1.25","5.00","5.00","2.00","2.00","0.00","5.00","5.00","5.00","5.00","0.00"
"Se818b7e5","Finished","18 August 2021  3:17 PM","1 hour 27 mins",80.5,"5.00","5.00","5.00","5.00","2.00","5.00","0.00","5.00","2.50","-","1.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S6d6071a1","Finished","18 August 2021  2:46 PM","54 mins 39 secs",95,"5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"Sd91186d2","Finished","18 August 2021  3:24 PM","1 hour 27 mins",77.5,"5.00","0.00","5.00","5.00","-","5.00","5.00","5.00","2.50","5.00","5.00","5.00","5.00","-","5.00","0.00","5.00","5.00","5.00","5.00"
"S3ae21339","Finished","18 August 2021  3:02 PM","1 hour 2 mins",87,"5.00","5.00","5.00","5.00","2.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00"
"Sb94aa4dd","Finished","18 August 2021  3:35 PM","1 hour 19 mins",72.63,"5.00","5.00","5.00","5.00","2.00","0.00","0.00","5.00","5.00","0.63","5.00","5.00","0.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00"
"S47eedd21","Finished","18 August 2021  3:54 PM","1 hour 14 mins",80.75,"5.00","5.00","5.00","5.00","0.00","5.00","0.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","3.75","5.00","5.00","0.00","5.00","5.00"
"Sa7506798","Finished","18 August 2021  4:28 PM","1 hour 30 mins",80,"5.00","5.00","5.00","0.00","-","0.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S59dd971b","Finished","18 August 2021  4:39 PM","1 hour 28 mins",85,"5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S7fc90d08","Finished","18 August 2021  4:44 PM","1 hour 7 mins",74.38,"5.00","5.00","5.00","5.00","0.00","0.00","0.00","5.00","5.00","4.38","5.00","5.00","0.00","-","5.00","5.00","5.00","5.00","5.00","5.00"
"S5eef7fb9","Finished","18 August 2021  5:10 PM","1 hour 22 mins",93.75,"5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","3.75","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"Sdfd446f5","Finished","18 August 2021  5:29 PM","1 hour 29 mins",60,"5.00","-","3.00","5.00","2.00","5.00","0.00","5.00","5.00","-","5.00","5.00","5.00","0.00","5.00","5.00","5.00","0.00","-","0.00"
"Sd01dbd8c","Finished","18 August 2021  5:21 PM","1 hour 21 mins",58.38,"5.00","0.00","5.00","5.00","0.00","5.00","5.00","0.00","0.00","4.38","5.00","0.00","2.00","2.00","0.00","5.00","5.00","0.00","5.00","5.00"
"S3602ca12","Finished","18 August 2021  6:22 PM","1 hour 30 mins",79.75,"5.00","5.00","5.00","5.00","2.00","5.00","0.00","5.00","5.00","3.75","2.00","5.00","5.00","2.00","0.00","5.00","5.00","5.00","5.00","5.00"
"S39e1cdc1","Finished","18 August 2021  8:39 PM","1 hour 27 mins",83.13,"0.00","5.00","3.00","5.00","0.00","5.00","5.00","5.00","5.00","3.13","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00"
"Sddbb3892","Finished","18 August 2021  9:06 PM","1 hour 30 mins",37.5,"0.00","5.00","2.00","5.00","0.00","0.00","0.00","5.00","2.50","0.00","1.00","5.00","2.00","0.00","0.00","5.00","5.00","0.00","0.00","0.00"
"S3314f27d","Finished","18 August 2021  10:20 PM","1 hour 29 mins",56.5,"0.00","5.00","5.00","5.00","2.00","-","-","5.00","5.00","-","-","5.00","5.00","2.00","2.50","5.00","5.00","5.00","-","-"
"S43f4485e","Finished","19 August 2021  2:03 AM","1 hour 20 mins",58,"5.00","5.00","5.00","-","-","5.00","-","5.00","2.50","5.00","1.00","5.00","5.00","2.00","2.50","5.00","5.00","-","-","0.00"
"Sc396f5b8","Finished","19 August 2021  6:15 AM","1 hour 12 mins",95,"5.00","5.00","5.00","5.00","-","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"Sa71197b0","Finished","19 August 2021  7:26 AM","1 hour 6 mins",87.75,"5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","3.75","2.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","0.00"
"Sa98767fc","Finished","19 August 2021  8:41 AM","1 hour 30 mins",58.75,"5.00","5.00","5.00","5.00","-","5.00","0.00","5.00","5.00","3.75","5.00","5.00","0.00","0.00","5.00","5.00","0.00","-","-","0.00"
"S59d6a2e0","Finished","19 August 2021  8:46 AM","1 hour 26 mins",85,"5.00","5.00","5.00","5.00","0.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00"
"Saafbe23f","Finished","19 August 2021  8:44 AM","1 hour 23 mins",92,"5.00","5.00","5.00","5.00","2.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"Sa0b93567","Finished","19 August 2021  9:34 AM","1 hour 30 mins",77.63,"5.00","5.00","5.00","5.00","0.00","5.00","0.00","5.00","5.00","3.13","2.00","5.00","5.00","5.00","2.50","5.00","5.00","5.00","5.00","0.00"
"S413a5446","Finished","19 August 2021  9:26 AM","1 hour 1 min",97,"5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S23593364","Finished","19 August 2021  10:00 AM","1 hour 30 mins",47.5,"5.00","0.00","5.00","5.00","0.00","0.00","0.00","0.00","5.00","2.50","2.00","0.00","2.00","1.00","5.00","5.00","5.00","5.00","0.00","0.00"
"Secefc927","Finished","19 August 2021  10:01 AM","1 hour 30 mins",70,"5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","0.00","0.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","0.00","5.00","0.00"
"Se87f00e2","Finished","19 August 2021  9:36 AM","52 mins 44 secs",92.5,"5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","2.50","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00"
"Sb2395261","Finished","19 August 2021  10:30 AM","47 mins 48 secs",97.5,"5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","2.50","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
