AnonID,year,nonspec_EM1a,nonspec_EM1b,nonspec_MNS1a,nonspec_MNS1b,nonspec_MSE1a,nonspec_MSE1b,spec_CAP,spec_ILA,spec_PPS
S002b2ddb,2017/8,39,,,,,,,,
S0036349d,2015/6,66,75,,,,,,,
S00419555,2015/6,89,87,,,,,,,
S00a03179,2017/8,88,73,,,,,,,
S00ccc68a,2016/7,67,70,,,,,,,
S00d28178,2015/6,72,78,,,,,,,
S00fb14fc,2015/6,70,58,,,,,,,
S01304614,2017/8,60,55,,,,,,,
S033ee458,2015/6,93,97,,,,,,,
S03812a56,2016/7,85,81,,,,,,,
S03ac0ab0,2016/7,76,78,,,,,,,
S03caa3c1,2017/8,60,54,,,,,,,
S03d2a712,2015/6,69,71,,,,,,,
S0490e11d,2015/6,53,62,,,,,,,
S05024462,2016/7,70,81,,,,,,,
S050f0a12,2015/6,68,82,,,,,,,
S051d4fd4,2017/8,70,55,,,,,,,
S05253a06,2015/6,62,,,,,,,,
S057c2922,2016/7,75,80,,,,,,,
S05b38653,2017/8,80,79,,,,,,,
S06461d65,2016/7,13,1,,,,,,,
S06764d31,2017/8,74,63,,,,,,,
S0737c114,2016/7,79,72,,,,,,,
S0742567d,2017/8,82,81,,,,,,,
S0792fd8a,2016/7,47,43,,,,,,,
S07949996,2016/7,68,83,,,,,,,
S07a91562,2015/6,58,49,,,,,,,
S07b69ca3,2016/7,59,49,,,,,,,
S08249176,2015/6,63,71,,,,,,,
S0843de39,2017/8,92,80,,,,,,,
S084581e3,2016/7,77,72,,,,,,,
S0857ffe3,2015/6,55,68,,,,,,,
S08984f05,2015/6,68,52,,,,,,,
S089bdd0f,2017/8,59,65,,,,,,,
S08a4c17c,2015/6,66,48,,,,,,,
S08c00c9e,2016/7,84,95,,,,,,,
S093564d9,2015/6,44,,,,,,,,
S09377919,2017/8,78,84,,,,,,,
S09908b6e,2017/8,63,76,,,,,,,
S0a05531e,2015/6,66,60,,,,,,,
S0a25bfff,2015/6,61,69,,,,,,,
S0a37e5ae,2017/8,68,56,,,,,,,
S0aaf7195,2015/6,74,78,,,,,,,
S0ab61e3f,2017/8,89,90,,,,,,,
S0b196ab6,2015/6,58,55,,,,,,,
S0b51c89a,2017/8,77,76,,,,,,,
S0bc16980,2015/6,72,69,,,,,,,
S0c6362ad,2017/8,60,62,,,,,,,
S0c74c1da,2015/6,42,50,,,,,,,
S0cc0d1ac,2015/6,63,62,,,,,,,
S0d673622,2017/8,91,73,,,,,,,
S0d99db2d,2016/7,77,77,,,,,,,
