Question,par,est,CI_2.5,CI_97.5
B1,a,0.5538763425907525,0.49039435680091026,0.6173583283805947
B1,b1,0.44758709348007714,0.10959622757271298,0.7855779593874412
B1,b2,-5.474240946108397,-6.115403666605911,-4.833078225610883
B2,a,1.3682209723935568,1.2565295726097236,1.47991237217739
B2,b1,-1.152358182763744,-1.2345977533821002,-1.0701186121453876
B3,a,0.3276119824206305,0.30162175511006883,0.35360220973119216
B3,b1,-1.4193516156345132,-2.115405861168842,-0.7232973701001841
B3,b2,-0.2877555333355428,-1.036458732258056,0.46094766558697053
B3,b3,-3.007578521313367,-3.708304465920604,-2.3068525767061296
B3,b4,-0.7687871669267201,-1.3327250784700473,-0.20484925538339283
B3,b5,-1.9088086606871313,-2.4248750693974026,-1.39274225197686
B3,b6,-0.05309172119192418,-0.5130184529934863,0.40683501060963784
B3,b7,1.4109322610737873,0.8603929473095698,1.9614715748380047
B3,b8,-8.577435600719195,-9.39899511828789,-7.755876083150499
B4,a,1.1783937045566257,1.0686987756261475,1.288088633487104
B4,b1,-1.678308018153294,-1.8054712861885907,-1.5511447501179971
B5,a,0.3850550976917446,0.3497212696355105,0.42038892574797876
B5,b1,0.1672522203864914,-6.019929130976487e-4,0.33510643368608045
B5,b2,10.989648741308002,9.63131022406475,12.347987258551255
B5,b3,-8.919265824317852,-10.218298614621112,-7.620233034014592
B6,a,0.7698033456497411,0.707472026362618,0.8321346649368642
B6,b1,1.3917559439236031,1.1211055523294333,1.662406335517773
B6,b2,-3.8395991454962695,-4.190395754079304,-3.4888025369132345
B7,a,0.9879617191025644,0.9038741357184947,1.072049302486634
B7,b1,0.4425265924130479,0.37053516364402816,0.5145180211820677
B8,a,1.4363522634613206,1.2968806625569607,1.5758238643656806
B8,b1,-1.9099074502484163,-2.0427036840084436,-1.777111216488389
B9,a,0.7072840060393444,0.6470001990716973,0.7675678130069915
B9,b1,-1.218162377568012,-1.3633157536749358,-1.073009001461088
B9,b2,-1.7580090515422624,-1.9351063153436847,-1.58091178774084
B10,a,0.3782720207768511,0.3522225331785897,0.40432150837511255
B10,b1,5.001605993097049,4.3998570724556725,5.603354913738425
B10,b2,-5.301841801770687,-5.861207004326424,-4.74247659921495
B10,b3,2.267601584091167,1.9010026625192644,2.6342005056630695
B10,b4,-0.40266706737690283,-0.7764147390086213,-0.028919395745184262
B10,b5,0.9790917782450201,0.5841996721913527,1.3739838842986876
B10,b6,-0.536516847629013,-0.930838426654773,-0.14219526860325293
B10,b7,1.8649457867839967,1.4519967008880832,2.27789487267991
B10,b8,-2.9609543406878527,-3.410100317011911,-2.5118083643637945
B11,a,0.3551383546124646,0.32717140551587015,0.3831053037090591
B11,b1,2.06361760755557,1.4757444537809365,2.6514907613302037
B11,b2,-5.931868067198163,-6.554252485181772,-5.309483649214554
B11,b3,9.958203268796241,8.564648682718424,11.351757854874059
B11,b4,-4.0250728915850225,-5.2949662693452915,-2.755179513824753
B11,b5,-9.94349022231238,-10.920113847609684,-8.966866597015077
B12,a,0.48248985214085244,0.4381133521821473,0.5268663520995576
B12,b1,2.5098760700921905,1.972263522228271,3.04748861795611
B12,b2,-1.9405586173547844,-2.407669453773436,-1.4734477809361326
B12,b3,-5.973205820056575,-6.576822795642899,-5.36958884447025
B13,a,0.520111314299266,0.47777733765176383,0.5624452909467682
B13,b1,-1.1111474951693663,-1.320071324471781,-0.9022236658669516
B13,b2,3.9272868489494854,3.355233439890757,4.499340258008214
B13,b3,-7.343478989976074,-8.078829126794805,-6.608128853157342
B14,a,0.5240530732281398,0.4876251744848578,0.5604809719714217
B14,b1,1.4563548750710917,1.132154745547775,1.7805550045944085
B14,b2,-4.165671662446283,-4.520854976926608,-3.8104883479659586
B14,b3,9.627582509526793,8.257883410143723,10.997281608909862
B14,b4,-4.83893632047403,-6.111550555245197,-3.566322085702863
B14,b5,-5.018909299860454,-5.530391907611482,-4.5074266921094255
B15,a,0.1801936342591463,0.1588291148487164,0.20155815366957622
B15,b1,13.170001545898455,11.134477617006166,15.205525474790743
B15,b2,-10.5760286480465,-12.29848859511415,-8.853568700978848
B15,b3,6.239915699931601,5.051512493701702,7.428318906161499
B15,b4,-16.048550675477085,-18.13915987279979,-13.957941478154378
B16,a,1.1973100812060575,1.0605929577642736,1.3340272046478414
B16,b1,-2.412355497660959,-2.62110243463051,-2.203608560691408
B17,a,1.5010099031635928,1.3174024860983025,1.6846173202288832
B17,b1,-2.5121642585445936,-2.7189154171624668,-2.3054130999267204
B18,a,0.9398927519524695,0.8476703179699829,1.032115185934956
B18,b1,-1.60100476384281,-1.742416274270261,-1.459593253415359
B19,a,1.584507117642209,1.4678600661986363,1.7011541690857817
B19,b1,-0.5356649626071712,-0.5902716585923733,-0.4810582666219692
B20,a,1.7581035134074754,1.6310290068150386,1.8851780199999122
B20,b1,0.0852163299066839,0.03822567447383843,0.13220698533952938
