"State","Started.on","Completed","Time.taken","Grade.100.00","Q..1..5.00","Q..2..5.00","Q..3..5.00","Q..4..5.00","Q..5..5.00","Q..6..5.00","Q..7..5.00","Q..8..5.00","Q..9..5.00","Q..10..5.00","Q..11..5.00","Q..12..5.00","Q..13..5.00","Q..14..5.00","Q..15..5.00","Q..16..5.00","Q..17..5.00","Q..18..5.00","Q..19..5.00","Q..20..5.00","AnonID"
"Finished","22 August 2017  10:30 AM","22 August 2017  12:00 PM","1 hour 29 mins",88.75,"5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","3.75","5.00","5.00","5.00","-","5.00","706e1eb7"
"Finished","22 August 2017  12:09 PM","22 August 2017  1:21 PM","1 hour 11 mins",78.13,"5.00","5.00","5.00","0.00","2.50","5.00","5.00","5.00","2.50","3.13","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00","cc140730"
"Finished","22 August 2017  1:26 PM","22 August 2017  2:18 PM","51 mins 57 secs",55.25,"5.00","0.00","2.50","5.00","0.00","5.00","0.00","5.00","0.00","0.00","2.00","5.00","5.00","2.00","3.75","5.00","5.00","0.00","5.00","0.00","667fb3d0"
"Finished","22 August 2017  2:14 PM","22 August 2017  3:33 PM","1 hour 19 mins",70,"5.00","5.00","2.50","5.00","2.50","5.00","0.00","5.00","5.00","2.50","5.00","0.00","2.50","0.00","5.00","5.00","5.00","0.00","5.00","5.00","e2ff133e"
"Finished","22 August 2017  2:15 PM","22 August 2017  3:03 PM","47 mins 56 secs",97,"5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","cfa4a45a"
"Finished","22 August 2017  2:50 PM","22 August 2017  4:09 PM","1 hour 18 mins",91.88,"5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","2.50","4.38","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","dd2513a8"
"Finished","22 August 2017  3:26 PM","22 August 2017  4:56 PM","1 hour 30 mins",73.88,"0.00","5.00","5.00","0.00","5.00","5.00","0.00","5.00","2.50","3.13","5.00","5.00","5.00","2.00","1.25","5.00","5.00","5.00","5.00","5.00","21bad796"
"Finished","22 August 2017  3:56 PM","22 August 2017  5:23 PM","1 hour 26 mins",78.5,"5.00","5.00","5.00","5.00","2.50","5.00","5.00","5.00","2.50","2.50","4.00","5.00","5.00","2.00","0.00","5.00","5.00","5.00","5.00","0.00","cd3a72ee"
"Finished","22 August 2017  4:12 PM","22 August 2017  5:42 PM","1 hour 29 mins",50.38,"2.50","5.00","3.75","5.00","-","5.00","-","0.00","2.50","0.63","1.00","5.00","2.50","0.00","2.50","5.00","5.00","5.00","0.00","0.00","efae8343"
"Finished","22 August 2017  5:27 PM","22 August 2017  6:57 PM","1 hour 30 mins",94.5,"5.00","5.00","5.00","5.00","2.50","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00","8e05a7b4"
"Finished","22 August 2017  6:01 PM","22 August 2017  7:05 PM","1 hour 4 mins",63.25,"5.00","0.00","2.50","5.00","-","5.00","0.00","5.00","2.50","2.50","2.00","5.00","5.00","5.00","3.75","5.00","5.00","5.00","0.00","0.00","dcfae2e"
"Finished","22 August 2017  6:32 PM","22 August 2017  7:47 PM","1 hour 14 mins",63.75,"5.00","0.00","3.75","5.00","-","5.00","0.00","5.00","2.50","0.00","5.00","2.50","5.00","0.00","5.00","5.00","5.00","5.00","5.00","0.00","844d10ee"
"Finished","22 August 2017  6:55 PM","22 August 2017  8:12 PM","1 hour 17 mins",60.63,"5.00","5.00","5.00","5.00","2.50","-","0.00","5.00","0.00","0.63","5.00","5.00","2.50","-","5.00","5.00","5.00","5.00","-","0.00","27df428c"
"Finished","22 August 2017  8:15 PM","22 August 2017  9:19 PM","1 hour 4 mins",81.25,"5.00","5.00","5.00","5.00","2.50","5.00","5.00","5.00","2.50","1.25","5.00","5.00","5.00","-","5.00","5.00","5.00","0.00","5.00","5.00","642be2b0"
"Finished","22 August 2017  9:27 PM","22 August 2017  10:57 PM","1 hour 30 mins",71.88,"5.00","5.00","5.00","5.00","-","5.00","0.00","-","5.00","1.88","5.00","5.00","5.00","-","0.00","5.00","5.00","5.00","5.00","5.00","b2d19d17"
"Finished","23 August 2017  7:42 AM","23 August 2017  9:12 AM","1 hour 30 mins",85.63,"5.00","5.00","5.00","5.00","0.00","5.00","0.00","5.00","5.00","0.63","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","1bd62bb"
"Finished","23 August 2017  8:06 AM","23 August 2017  9:33 AM","1 hour 26 mins",62,"2.50","5.00","5.00","5.00","0.00","5.00","0.00","5.00","0.00","2.50","5.00","5.00","5.00","2.00","5.00","5.00","5.00","0.00","0.00","0.00","6972d7ef"
"Finished","23 August 2017  9:56 AM","23 August 2017  11:13 AM","1 hour 17 mins",92,"5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00","434bb74"
"Finished","23 August 2017  11:15 AM","23 August 2017  12:45 PM","1 hour 30 mins",46.38,"5.00","0.00","1.25","5.00","0.00","5.00","0.00","5.00","2.50","0.63","5.00","5.00","2.50","2.00","2.50","0.00","5.00","0.00","0.00","0.00","47b7bfab"
"Finished","23 August 2017  12:30 PM","23 August 2017  1:27 PM","57 mins 11 secs",86,"5.00","5.00","5.00","0.00","2.50","5.00","5.00","5.00","2.50","5.00","5.00","5.00","5.00","1.00","5.00","5.00","5.00","5.00","5.00","5.00","f0f9f5db"
"Finished","23 August 2017  12:34 PM","23 August 2017  1:49 PM","1 hour 14 mins",84.38,"0.00","5.00","3.75","5.00","2.50","5.00","0.00","5.00","5.00","3.13","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","a918f06"
"Finished","23 August 2017  12:48 PM","23 August 2017  2:17 PM","1 hour 29 mins",87.5,"5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","2.50","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00","a30575ad"
"Finished","23 August 2017  12:52 PM","23 August 2017  2:11 PM","1 hour 18 mins",67.25,"0.00","0.00","1.25","5.00","5.00","5.00","0.00","5.00","2.50","2.50","5.00","5.00","5.00","1.00","5.00","5.00","5.00","5.00","5.00","0.00","f99de417"
"Finished","23 August 2017  12:53 PM","23 August 2017  2:11 PM","1 hour 18 mins",77.5,"5.00","5.00","3.75","5.00","2.50","5.00","5.00","5.00","5.00","1.25","3.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","0.00","0.00","6a12d567"
"Finished","23 August 2017  1:39 PM","23 August 2017  2:58 PM","1 hour 18 mins",76.38,"5.00","5.00","5.00","5.00","0.00","2.50","0.00","5.00","5.00","1.88","5.00","5.00","2.50","2.00","2.50","5.00","5.00","5.00","5.00","5.00","b9548d51"
"Finished","23 August 2017  2:31 PM","23 August 2017  3:57 PM","1 hour 25 mins",82.5,"5.00","5.00","5.00","5.00","2.50","5.00","0.00","5.00","2.50","2.50","5.00","2.50","2.50","5.00","5.00","5.00","5.00","5.00","5.00","5.00","2b2f1d16"
"Finished","23 August 2017  3:17 PM","23 August 2017  4:01 PM","44 mins",83.75,"0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","2.50","1.25","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","-","5.00","a867241d"
"Finished","23 August 2017  3:18 PM","23 August 2017  4:03 PM","44 mins 54 secs",83.75,"5.00","5.00","2.50","5.00","5.00","5.00","0.00","5.00","2.50","3.75","5.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","5.00","f04f74fd"
"Finished","23 August 2017  3:21 PM","23 August 2017  4:29 PM","1 hour 7 mins",70,"5.00","0.00","5.00","5.00","0.00","-","5.00","5.00","0.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","-","97b828f0"
"Finished","23 August 2017  3:44 PM","23 August 2017  4:58 PM","1 hour 13 mins",91.88,"5.00","5.00","3.75","5.00","2.50","5.00","5.00","5.00","5.00","3.13","5.00","2.50","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","39df8379"
"Finished","23 August 2017  4:16 PM","23 August 2017  5:49 PM","1 hour 33 mins",78.75,"5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","5.00","3.75","5.00","5.00","5.00","5.00","5.00","-","0.00","5.00","5.00","0.00","e74676f"
"Finished","23 August 2017  4:32 PM","23 August 2017  5:17 PM","44 mins 36 secs",88.88,"5.00","5.00","5.00","5.00","2.50","5.00","0.00","5.00","5.00","4.38","2.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","3e5c62d0"
"Finished","23 August 2017  4:44 PM","23 August 2017  6:13 PM","1 hour 28 mins",86.88,"5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","4.38","5.00","2.50","5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","32e2497d"
"Finished","23 August 2017  4:46 PM","23 August 2017  6:16 PM","1 hour 29 mins",70.75,"5.00","5.00","3.75","5.00","5.00","5.00","5.00","5.00","5.00","1.25","2.00","-","-","-","3.75","5.00","5.00","5.00","5.00","-","7b2fb9e5"
"Finished","23 August 2017  4:57 PM","23 August 2017  5:39 PM","42 mins 15 secs",70.75,"5.00","5.00","5.00","5.00","2.50","5.00","0.00","5.00","5.00","1.25","2.00","5.00","2.50","5.00","2.50","5.00","5.00","0.00","0.00","5.00","8ac0539e"
"Finished","23 August 2017  5:07 PM","23 August 2017  6:02 PM","55 mins 22 secs",87,"5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","0.00","5.00","5.00","ce2c85a9"
"Finished","23 August 2017  6:13 PM","23 August 2017  7:39 PM","1 hour 26 mins",89.5,"5.00","5.00","5.00","5.00","2.50","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00","2c768bc8"
"Finished","23 August 2017  6:39 PM","23 August 2017  7:42 PM","1 hour 3 mins",52,"5.00","0.00","3.75","5.00","2.50","2.50","0.00","5.00","5.00","1.25","1.00","5.00","2.50","1.00","2.50","5.00","5.00","0.00","0.00","0.00","1f51fdf2"
"Finished","23 August 2017  6:42 PM","23 August 2017  8:07 PM","1 hour 24 mins",85,"5.00","0.00","5.00","5.00","2.50","5.00","5.00","5.00","5.00","2.50","5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","194c6384"
"Finished","23 August 2017  8:20 PM","23 August 2017  9:47 PM","1 hour 26 mins",62,"5.00","-","5.00","5.00","5.00","-","0.00","5.00","2.50","-","2.00","5.00","2.50","5.00","5.00","5.00","5.00","5.00","0.00","0.00","267bca7"
"Finished","23 August 2017  9:30 PM","23 August 2017  10:42 PM","1 hour 11 mins",93.13,"5.00","5.00","3.75","5.00","5.00","5.00","5.00","5.00","5.00","4.38","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","d58ac594"
"Finished","23 August 2017  10:34 PM","23 August 2017  11:48 PM","1 hour 14 mins",80,"0.00","5.00","5.00","5.00","2.50","0.00","5.00","5.00","2.50","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","95e3a37e"
"Finished","24 August 2017  7:56 AM","24 August 2017  9:26 AM","1 hour 29 mins",81.25,"5.00","5.00","5.00","5.00","2.50","5.00","0.00","5.00","5.00","3.75","-","5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","5.00","697087a9"
"Finished","24 August 2017  8:07 AM","24 August 2017  9:32 AM","1 hour 25 mins",100,"5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","c79483fe"
"Finished","24 August 2017  8:46 AM","24 August 2017  10:17 AM","1 hour 30 mins",52,"5.00","5.00","-","-","-","-","-","5.00","5.00","-","5.00","5.00","5.00","2.00","5.00","5.00","5.00","-","-","-","74663146"
"Finished","24 August 2017  9:24 AM","24 August 2017  10:42 AM","1 hour 17 mins",88.75,"5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","3.75","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00","eb256ea3"
