"MathsQual","FMQual","AnonID"
"AH A1",NA,"3911b45a"
"IB HL H6",NA,"d5e9828f"
"Higher A2",NA,"1458bb75"
"AH A2",NA,"77d795a2"
"AH A2",NA,"b3ef6d0b"
"A-Level A",NA,"870e8979"
"A-Level A*",NA,"68b69c61"
"A-Level A*","FM A-Level A*","10483439"
"A-Level A*","FM A-Level A","e8ae6eaa"
"A-Level A*","FM A-Level A","74d7ea36"
"IB HL H5",NA,"671952ba"
"A-Level A",NA,"c0d06f2b"
"Higher B3",NA,"4f9264d7"
"AH A2",NA,"3216e1de"
"Higher A1",NA,"9a536419"
"AH D7",NA,"97cefece"
"Higher A2",NA,"1b2a2b85"
"AH B3",NA,"fac2d6c8"
"A-Level A",NA,"7c581d7d"
"Higher A2",NA,"e45e7f3c"
"AH A2",NA,"f614d055"
"A-Level A",NA,"50b73ab8"
"A-Level A*","FM A-Level A","fb25c83a"
"AH A2",NA,"df0af3cc"
"AH C5",NA,"11f6720d"
"A-Level A*",NA,"a8b10881"
"A-Level A*","FM A-Level B","cc5cdd88"
"AH A1",NA,"a933dc16"
"A-Level A*","FM A-Level A*","fc4d08e3"
"AH A2",NA,"a768900b"
"Higher A2",NA,"22333a82"
"A-Level A*","FM A-Level A","ff9ca674"
"A-Level A*",NA,"6876998c"
NA,"FM A-Level A","16d61f31"
"A-Level A*",NA,"501de1bd"
"IB HL H7",NA,"fd978132"
"A-Level A*","FM A-Level A*","6b924b16"
"A-Level A*","FM A-Level A","a017a8e0"
"A-Level A*","FM A-Level A","3afdb48d"
"AH B3",NA,"5007e47a"
"AH A1",NA,"63794ae9"
NA,"FM A-Level A","21d41819"
"A-Level A",NA,"e0d138b9"
"AH A2",NA,"97cc3447"
"A-Level A","FM A-Level B","b8034d61"
"A-Level A*",NA,"aaf5107c"
"A-Level A*","FM A-Level A","08747420"
"A-Level A",NA,"57fde491"
"AH A1",NA,"aa439703"
"A-Level A","FM A-Level A","80104b5d"
"AH B3",NA,"a2e1d30b"
"A-Level A*","FM A-Level A","1afa5730"
"A-Level A*","FM A-Level A*","25428ff2"
"AH A2",NA,"011065ec"
"A-Level A","FM A-Level A","2726b444"
"AH A2",NA,"b9bd66a8"
"AH A2",NA,"40b657c2"
"A-Level A*","FM A-Level B","e32a63f0"
"A-Level A","FM A-Level A","5a8d5227"
"AH A1",NA,"e7214d59"
"A-Level A*","FM A-Level A*","45286c9f"
"A-Level A*","FM A-Level A*","39ecd194"
"A-Level A",NA,"154da197"
"A-Level A*","FM A-Level A","4bce03b5"
"A-Level A","FM A-Level A*","e1720486"
"A-Level A*","FM A-Level A","58b8b784"
"A-Level A*","FM A-Level B","b0f83c52"
"AH B3",NA,"3d17c4aa"
"A-Level A*","FM A-Level A","4fa5c8f3"
"A-Level A*","FM A-Level A*","8496ac7a"
"A-Level A*","FM A-Level A*","6b8dc2c5"
"AH A2",NA,"eae06ea1"
"A-Level A*","FM A-Level A*","dc6d79ba"
"A-Level A*","FM A-Level A","1cea2e13"
"AH A2",NA,"ed77ec9f"
"A-Level A*","FM A-Level A","4830d4e8"
"A-Level A*","FM A-Level A*","e8d58b02"
"A-Level A*",NA,"9e3010dd"
"AH A2",NA,"60dea88f"
"IB HL H7",NA,"d5ecaf39"
"IB HL H6",NA,"f2830c32"
"IB HL H7",NA,"5352a3ae"
"A-Level A*","FM A-Level A*","b57c02c8"
"AH A1",NA,"51bd92e4"
"A-Level A","FM A-Level B","6e1228db"
"A-Level A*",NA,"f6032867"
"A-Level A*",NA,"3019cf63"
"A-Level A*",NA,"b3a6dfce"
"AH A2",NA,"93337c2e"
"IB HL H7",NA,"88a3aeda"
"AH B3",NA,"e1df577d"
"A-Level A*",NA,"524e2283"
"A-Level A*","FM A-Level A","165760c6"
"A-Level A*","FM A-Level A*","4c2d49ff"
"AH A1",NA,"0e801b0f"
"A-Level A*",NA,"e19b75b0"
"IB HL H6",NA,"0609613a"
"IB HL H7",NA,"8afbc9ac"
"AH A1",NA,"f5517d82"
"AH A1",NA,"e243fbea"
"A-Level A",NA,"20e0cb9e"
"A-Level A*","FM A-Level A*","b2ee2f13"
"A-Level A*","FM A-Level A*","04b22180"
"A-Level A","FM A-Level A*","a707b5aa"
"A-Level A*","FM A-Level A","d906d695"
"AH A2",NA,"d5c0a0c4"
"A-Level A*","FM A-Level A","5ea58a6c"
"A-Level A",NA,"113639ec"
"A-Level A*","FM A-Level A*","bd465067"
"A-Level A*","FM A-Level A","5dcb8349"
"AH A2",NA,"ca081ca9"
"AH A2",NA,"e6be0e57"
"A-Level A*","FM A-Level A*","55381954"
"A-Level A",NA,"e5c7658f"
"IB HL H6",NA,"ed951a10"
"A-Level A*","FM A-Level A*","d206fcef"
"A-Level A*","FM A-Level A","9100790e"
"A-Level B",NA,"6964130c"
"A-Level A*","FM A-Level A","66db0e85"
"A-Level A","FM A-Level A","06ae643b"
"A-Level A*","FM A-Level B","ff76bbd5"
"IB HL H7",NA,"43bd14ed"
"A-Level A*","FM A-Level A*","482087d5"
"A-Level A*","FM A-Level A","ca344069"
"AH A2",NA,"95bdd0d8"
"A-Level A","FM A-Level A","fa0d47c7"
"A-Level A*",NA,"2bbc58cb"
"A-Level A*","FM A-Level A","5e37ca31"
"IB HL H7",NA,"cde81985"
"A-Level A*","FM A-Level A*","5b805174"
"AH A1",NA,"d6ce4c0e"
"A-Level A*",NA,"72d006da"
"AH A1",NA,"52e440b8"
"A-Level A*",NA,"22a2a92f"
"A-Level A",NA,"13271b6d"
"A-Level A*",NA,"367728ce"
"A-Level A","FM A-Level A","ae4f886a"
"AH A2",NA,"98eb3f69"
"A-Level A*",NA,"e6ea5c56"
"A-Level A*","FM A-Level A*","cbf799b9"
"A-Level A*","FM A-Level A*","af6c1ae1"
"A-Level A*","FM A-Level A","3e63ebb9"
"A-Level A*",NA,"e8306fbc"
"A-Level A",NA,"80c38628"
"A-Level A*","FM A-Level A","61db40f2"
"A-Level A*","FM A-Level A","7cff82b3"
"A-Level A",NA,"804bc3b2"
"A-Level A",NA,"b2a078d5"
"A-Level A*","FM A-Level A*","5242b70b"
"A-Level A",NA,"708dedb8"
"A-Level A*",NA,"c366786e"
"A-Level A","FM A-Level A","a39b574a"
"A-Level A*",NA,"f9c8de6b"
"A-Level A*","FM A-Level A*","f8746b87"
"A-Level A",NA,"4280def6"
"A-Level A",NA,"8210eba2"
"A-Level A",NA,"ffa48412"
"A-Level A",NA,"3122e5fb"
"IB HL H5",NA,"671aeaee"
"A-Level A",NA,"4cdebd61"
"A-Level A*","FM A-Level B","1ad6fb53"
"A-Level A",NA,"59a56785"
"A-Level A",NA,"81dcebfd"
"AH A2",NA,"73dd85e6"
"A-Level A","FM A-Level A","5bd4a0eb"
"A-Level A","FM A-Level D","15bf844a"
"IB HL H7",NA,"41a36ced"
"A-Level A*","FM A-Level A","cd46a686"
"A-Level A","FM A-Level C","8d2e2a42"
"A-Level A*","FM A-Level A*","8bdc861f"
"A-Level A*",NA,"9fe42b9f"
"A-Level A","FM A-Level B","63c0b4e6"
"A-Level A*","FM A-Level A","872bcbb4"
"IB SL S7",NA,"a7c4887c"
"AH A1",NA,"c65c893b"
"A-Level A",NA,"f50b87b0"
"A-Level A",NA,"02f95023"
"A-Level A",NA,"b90498a7"
"AH C5",NA,"95b28a59"
"A-Level A*",NA,"ee7e920b"
"AH F",NA,"988f244f"
"AH D7",NA,"f97839f8"
"A-Level A*",NA,"110670cb"
"IB HL H6",NA,"e6f4a758"
"A-Level A","FM A-Level B","d7d0f098"
"AH B3",NA,"12e2a251"
"A-Level A*","FM A-Level A*","08d9a7b4"
"AH A2",NA,"2fb604bf"
"AH A2",NA,"cb5d7bed"
"AH A2",NA,"f48821fa"
"AH A1",NA,"b575b8ca"
"A-Level A*",NA,"b0192625"
"AH A1",NA,"e924a621"
"AH A1",NA,"c43963ce"
"A-Level A*","FM A-Level A*","cb23e563"
"IB HL H6",NA,"5a1048fb"
"A-Level A*","FM A-Level B","04320f5b"
"A-Level A",NA,"87a4bfee"
"AH A2",NA,"59e166b9"
"IB HL H6",NA,"73c85acf"
"A-Level A*","FM A-Level A*","3981f0df"
"A-Level A",NA,"aa92443c"
"A-Level A","FM A-Level A","a680ced8"
"AH C5",NA,"e2998c9d"
"A-Level A","FM A-Level A","120e7c82"
"AH A2",NA,"82d224c6"
"AH C5",NA,"bc8509d8"
"AH A1",NA,"ad239f05"
"A-Level A","FM A-Level C","7f45f74c"
"A-Level A","FM A-Level A","c338df0b"
"A-Level A",NA,"5aef8a73"
"AH A2",NA,"300d4166"
"A-Level A",NA,"4687c649"
"A-Level A*","FM A-Level A","5ba30408"
"AH A1",NA,"99f6ef68"
"AH A2",NA,"51efa009"
"A-Level A*","FM A-Level A","4ae0559a"
"A-Level A","FM A-Level A","8be5753a"
"AH B3",NA,"1d8d3dcb"
"AH B3",NA,"7f142959"
"Higher A2",NA,"c19af6e1"
"AH A2",NA,"74c7eda7"
"IB HL H6",NA,"98a5e8c0"
"AH A2",NA,"17a66e14"
"A-Level A*",NA,"7bd915ac"
"AH C5",NA,"ec0de8b1"
"A-Level A*",NA,"451ee6ca"
"AH A1",NA,"aa2c286d"
"AH A2",NA,"ebf81145"
"AH A2",NA,"b5e49400"
"A-Level A*","FM A-Level A","52d76508"
"A-Level A*","FM A-Level A*","bf645756"
"A-Level A*",NA,"00186ac4"
"AH A1",NA,"1ff976b1"
"AH A2",NA,"88400979"
"AH A2",NA,"d3af35b4"
"AH B3",NA,"231165b3"
"A-Level A*","FM A-Level A*","4034c4cd"
"IB HL H6",NA,"af4228a7"
"A-Level A","FM A-Level A","a7a6d047"
"AH A2",NA,"873373a7"
"AH B3",NA,"4ab4079b"
"Higher A2",NA,"30d3c8d8"
"A-Level A",NA,"ecf22a39"
"AH A2",NA,"7c391080"
"AH A2",NA,"3f0218e2"
"AH A1",NA,"92e7649d"
"A-Level A*",NA,"6dd8ebf6"
"A-Level A*","FM A-Level A*","fee2ff0d"
"AH C5",NA,"9658536e"
"AH A2",NA,"742e9c91"
"AH A2",NA,"56df04c7"
"A-Level A",NA,"bdcf44d1"
"AH A2",NA,"d0ad6f07"
"A-Level A*","FM A-Level A","f3e042bd"
"AH D7",NA,"4f3c8f78"
"AH A2",NA,"d2c954b1"
"AH A2",NA,"2aad3eb3"
"AH A2",NA,"1a835be0"
"A-Level A*",NA,"d2a5c944"
"A-Level A*",NA,"92da277d"
"AH B3",NA,"5b68bf0d"
"AH A2",NA,"313cf367"
"AH A2",NA,"01129634"
"AH F",NA,"a12e5251"
"AH B4",NA,"52e9698e"
"A-Level A*",NA,"8e8ca9a2"
"AH A1",NA,"bf963c87"
"AH B4",NA,"2178f75c"
"AH B3",NA,"513e1ecb"
"AH A2",NA,"41243dfa"
"A-Level A*","FM A-Level A*","7ef167ed"
"Higher A2",NA,"61071965"
"AH C5",NA,"c1e2468f"
"AH F",NA,"a1d190d9"
"AH A1",NA,"ae6e8d50"
"AH A2",NA,"7688264f"
"A-Level A*",NA,"36f7c876"
"Higher A1",NA,"19eb5fd4"
"AH D7",NA,"ce404cf0"
"AH F",NA,"4ab3dbc9"
"AH A2",NA,"ba33492b"
"AH A2",NA,"9bbbbaa5"
"AH A1",NA,"f06d81c6"
"AH B4",NA,"4d0df9ef"
"AH A1",NA,"1cc3e3f6"
"AH A2",NA,"73641614"
"AH A2",NA,"9ec046b7"
"AH C5",NA,"2be523fc"
"Higher A2",NA,"4a6a4046"
"A-Level A*",NA,"7a6d850d"
"AH A2",NA,"0ff1750a"
"AH A2",NA,"a3811c81"
"AH A2",NA,"b7aed3fc"
"IB HL H6",NA,"460dd395"
"A-Level A*",NA,"6540fe2f"
"Higher A2",NA,"83e9e3cc"
"AH A2",NA,"eea26802"
"AH B4",NA,"6894210f"
"AH A2",NA,"3352bdda"
"AH C6",NA,"0c87e7cd"
"AH F",NA,"cefbacb5"
"AH B4",NA,"2c12442d"
"AH C6",NA,"bbc6b930"
"A-Level A","FM A-Level B","1ad9efde"
"AH A2",NA,"a6f787a9"
"AH A2",NA,"63940b75"
"Higher A2",NA,"c6230895"
"AH C6",NA,"d126ec00"
"AH A2",NA,"31bc5dd3"
"AH A1",NA,"c116204f"
"A-Level A*",NA,"80c21967"
"AH A2",NA,"ff68ad49"
"AH B3",NA,"b7f3bb90"
"AH B4",NA,"ab426c25"
"AH B3",NA,"7b55c302"
"AH B3",NA,"e353a143"
"AH A2",NA,"1a9c1c50"
"A-Level A",NA,"aa707cd0"
"AH A2",NA,"81d9a98a"
"AH A1",NA,"3c183421"
"Higher A2",NA,"49ba06c3"
"A-Level A*","FM A-Level A*","77a90910"
"A-Level A*","FM A-Level A*","c6fda2da"
"AH A2",NA,"68e9f0e7"
"AH A2",NA,"71d3e0d7"
"Higher A2",NA,"ed9a8ef2"
"A-Level A",NA,"692d3b06"
"A-Level A",NA,"b8323897"
"Higher A2",NA,"55a8aad1"
"A-Level A",NA,"b65c1227"
"AH A2",NA,"cdc34a45"
"AH A2",NA,"c211d519"
"AH A2",NA,"93dfcf00"
"A-Level A*","FM A-Level A*","fdc48f0e"
"Higher A2",NA,"d078af63"
"AH A1",NA,"276046a0"
"AH A1",NA,"ab772979"
"A-Level A*","FM A-Level A","fedf9f1c"
"IB HL H6","FM IB H6","00d67e24"
"AH A2",NA,"d92d8555"
"A-Level A*","FM A-Level A","20b99358"
"A-Level A",NA,"52ca9f6c"
"A-Level A*",NA,"b6b3a063"
"A-Level A",NA,"919821a5"
"A-Level A","FM A-Level B","ed5c9cae"
"A-Level B",NA,"52be5718"
"AH C5",NA,"6bc87f47"
"IB HL H7",NA,"b7487824"
"AH A2",NA,"3243783c"
"Higher A2",NA,"d3721efe"
"A-Level A*",NA,"be5689c0"
"A-Level A*","FM A-Level A","2f9b940d"
"A-Level A",NA,"3b46fec2"
"A-Level A",NA,"3167d816"
"Higher A2",NA,"5087a75c"
"Higher A2",NA,"835fe4dc"
"AH B4",NA,"f5255864"
"A-Level A",NA,"2eb561bc"
"IB HL H6",NA,"10dc8e47"
"A-Level A",NA,"eca4a811"
"IB HL H6",NA,"653a9e68"
"IB SL S7",NA,"cb56b258"
"A-Level A*","FM A-Level A","8da38e31"
"IB HL H6",NA,"6d54bd37"
"IB HL H7",NA,"fa21a5a8"
"IB HL H6",NA,"0f4d0711"
"A-Level A",NA,"1b5e94ac"
"A-Level A*","FM A-Level A","bca40ce2"
"A-Level A",NA,"7874cccd"
"A-Level A*",NA,"81e9e0ad"
"A-Level A*",NA,"37b5ee3e"
"A-Level A*",NA,"d44156c8"
"A-Level A*",NA,"2db0293e"
"AH Applied F",NA,"bad2535c"
"AH A2",NA,"6470d361"
"A-Level A*",NA,"f3dece54"
"A-Level A",NA,"9a54ece7"
"A-Level A*",NA,"0b78c8ac"
"A-Level A",NA,"caf86f6b"
"IB HL H6",NA,"1639c6d1"
"A-Level A",NA,"11a2f296"
