"Gender","Domicile.on.Programme.Entry","Nationality","Fee.Status.Grouping","Fee.Status.Description","Programme.Of.Study.Sought.Title","Year.Of.Attendance","Year.Of.Programme","Course.Code","Course.Name","AnonID"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Computer Science",1,2,"MATH08067","Probability with Applications","830a2b65"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Computer Science",3,2,"MATH08057","Introduction to Linear Algebra","ef490c1d"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Computer Science",3,2,"MATH08058","Calculus and its Applications","ef490c1d"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Theoretical Physics",2,2,"MATH08057","Introduction to Linear Algebra","d32c8001"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Theoretical Physics",2,2,"MATH08058","Calculus and its Applications","d32c8001"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Theoretical Physics",2,2,"MATH08063","Several Variable Calculus and Differential Equations","d32c8001"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Theoretical Physics",2,2,"MATH08066","Probability","d32c8001"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Theoretical Physics",2,2,"MATH08071","Accelerated Proofs and Problem Solving","d32c8001"
"F","Scotland","United Kingdom","SEU","Scotland fee rate","Computer Science and Mathematics",4,3,"MATH08057","Introduction to Linear Algebra","d60c3aad"
"F","Scotland","United Kingdom","SEU","Scotland fee rate","Computer Science and Mathematics",4,3,"MATH08058","Calculus and its Applications","d60c3aad"
"F","Scotland","United Kingdom","SEU","Scotland fee rate","Computer Science and Mathematics",4,3,"MATH08059","Proofs and Problem Solving","d60c3aad"
"F","Scotland","United Kingdom","SEU","Scotland fee rate","Computer Science and Mathematics",4,3,"MATH08063","Several Variable Calculus and Differential Equations","d60c3aad"
"F","Scotland","United Kingdom","SEU","Scotland fee rate","Computer Science and Mathematics",4,3,"MATH08064","Fundamentals of Pure Mathematics","d60c3aad"
"F","Scotland","United Kingdom","SEU","Scotland fee rate","Computer Science and Mathematics",4,3,"MATH08065","Computing and Numerics","d60c3aad"
"F","Scotland","United Kingdom","SEU","Scotland fee rate","Computer Science and Mathematics",4,3,"MATH08066","Probability","d60c3aad"
"F","Scotland","United Kingdom","SEU","Scotland fee rate","Computer Science and Mathematics",4,3,"MATH08067","Probability with Applications","d60c3aad"
"F","Scotland","United Kingdom","SEU","Scotland fee rate","Computer Science and Mathematics",4,3,"MATH10060","Numerical Ordinary Differential Equations and Applications","d60c3aad"
"F","Scotland","United Kingdom","SEU","Scotland fee rate","Computer Science and Mathematics",4,3,"MATH10066","Honours Differential Equations","d60c3aad"
"F","Scotland","United Kingdom","SEU","Scotland fee rate","Computer Science and Mathematics",4,3,"MATH10068","Honours Analysis","d60c3aad"
"F","Scotland","United Kingdom","SEU","Scotland fee rate","Computer Science and Mathematics",4,3,"MATH10069","Honours Algebra","d60c3aad"
"F","Scotland","United Kingdom","SEU","Scotland fee rate","Computer Science and Mathematics",4,3,"MATH10073","Linear Programming, Modelling and Solution","d60c3aad"
"F","Northern Ireland","United Kingdom","SEU","Scotland fee rate","Chemistry with Environmental and Sustainable Chemistry and Industrial Experience",1,1,"MATH08072","Mathematics for the Natural Sciences 1a","b46b9833"
"F","Northern Ireland","United Kingdom","SEU","Scotland fee rate","Chemistry with Environmental and Sustainable Chemistry and Industrial Experience",1,1,"MATH08073","Mathematics for the Natural Sciences 1b","b46b9833"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics (Pure Mathematics)",5,4,"MATH10010","Mathematical Education","2d3bef64"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics (Pure Mathematics)",5,4,"MATH10024","Probability, Measure & Finance","2d3bef64"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics (Pure Mathematics)",5,4,"MATH10027","Topology","2d3bef64"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics (Pure Mathematics)",5,4,"MATH10036","Number Theory","2d3bef64"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics (Pure Mathematics)",5,4,"MATH10050","Jewels of Algebra","2d3bef64"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics (Pure Mathematics)",5,4,"MATH11053","Introduction to Lie Groups","2d3bef64"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Software Engineering",3,2,"MATH08057","Introduction to Linear Algebra","1ccea3a1"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Software Engineering",3,2,"MATH08058","Calculus and its Applications","1ccea3a1"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",6,5,"MATH11093","Analysis of Nonlinear Waves","f07ac456"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",6,5,"MATH11097","Pure Analysis 2","f07ac456"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",6,5,"MATH11098","Pure Analysis 1","f07ac456"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",6,5,"MATH11111","Fundamentals of Optimization","f07ac456"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",6,5,"MATH11127","Mathematics Dissertation","f07ac456"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",5,4,"MATH10002","Differential Geometry","6ff48e0b"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",5,4,"MATH10006","Mathematical Computation & Communication Skills","6ff48e0b"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",5,4,"MATH10008","Pure & Applied Analysis","6ff48e0b"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",5,4,"MATH10021","Algebra","6ff48e0b"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",5,4,"MATH10023","Numbers & Rings","6ff48e0b"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",5,4,"MATH10033","Complex Variable & Differential Equations","6ff48e0b"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",5,4,"MATH10049","Metric Spaces","6ff48e0b"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",5,4,"MATH10059","Numerical Linear Algebra and Applications","6ff48e0b"
"M","Bulgaria","Bulgaria","SEU","EU/EEA fee rate","Physics",5,5,"MATH10003","Financial Mathematics","c11e709a"
"M","Bulgaria","Bulgaria","SEU","EU/EEA fee rate","Physics",5,5,"MATH10007","Stochastic Modelling","c11e709a"
"M","Bulgaria","Bulgaria","SEU","EU/EEA fee rate","Physics",5,5,"MATH10021","Algebra","c11e709a"
"M","Scotland","United Kingdom","HOME","UK fee rate","Applied Mathematics",4,4,"MATH10031","Project in Mathematics (Double)","1bcd3e26"
"M","Scotland","United Kingdom","HOME","UK fee rate","Applied Mathematics",4,4,"MATH10046","Hilbert Spaces","1bcd3e26"
"M","Scotland","United Kingdom","HOME","UK fee rate","Applied Mathematics",4,4,"MATH10059","Numerical Linear Algebra and Applications","1bcd3e26"
"M","Scotland","United Kingdom","HOME","UK fee rate","Applied Mathematics",4,4,"MATH11031","Nonlinear Optimization","1bcd3e26"
"M","Scotland","United Kingdom","HOME","UK fee rate","Applied Mathematics",4,4,"MATH11032","Large Scale Optimization","1bcd3e26"
"M","Scotland","United Kingdom","HOME","UK fee rate","Applied Mathematics",4,4,"MATH11093","Analysis of Nonlinear Waves","1bcd3e26"
"M","Scotland","United Kingdom","HOME","UK fee rate","Applied Mathematics",4,4,"MATH11111","Fundamentals of Optimization","1bcd3e26"
"M","Scotland","United Kingdom","HOME","UK fee rate","Applied Mathematics",4,4,"MATH11120","Algebraic Geometry","1bcd3e26"
"M","England","United Kingdom","HOME","UK fee rate","Mathematical Physics",5,5,"MATH11103","Geometry & Topology 2","123b6fb7"
"M","England","United Kingdom","HOME","UK fee rate","Mathematical Physics",5,5,"MATH11104","Geometry & Topology 1","123b6fb7"
