"Gender","Domicile.on.Programme.Entry","Nationality","Fee.Status.Grouping","Fee.Status.Description","Programme.Of.Study.Sought.Title","Year.Of.Attendance","Year.Of.Programme","Course.Code","Course.Name","AnonID"
"M","Germany","Germany","SEU","EU/EEA fee rate","Mathematical Physics",5,5,"MATH10021","Algebra","5b0bae7f"
"M","Hong Kong","Korea (South) [Korea, Republic of]","OVERSEAS","Overseas/International fee rate","Mathematics (Pure Mathematics)",5,4,"MATH10025","Algebraic Coding Theory","37b8b290"
"M","Hong Kong","Korea (South) [Korea, Republic of]","OVERSEAS","Overseas/International fee rate","Mathematics (Pure Mathematics)",5,4,"MATH10027","Topology","37b8b290"
"M","Hong Kong","Korea (South) [Korea, Republic of]","OVERSEAS","Overseas/International fee rate","Mathematics (Pure Mathematics)",5,4,"MATH10036","Number Theory","37b8b290"
"M","Hong Kong","Korea (South) [Korea, Republic of]","OVERSEAS","Overseas/International fee rate","Mathematics (Pure Mathematics)",5,4,"MATH10046","Hilbert Spaces","37b8b290"
"M","Hong Kong","Korea (South) [Korea, Republic of]","OVERSEAS","Overseas/International fee rate","Mathematics (Pure Mathematics)",5,4,"MATH10050","Jewels of Algebra","37b8b290"
"M","Hong Kong","Korea (South) [Korea, Republic of]","OVERSEAS","Overseas/International fee rate","Mathematics (Pure Mathematics)",5,4,"MATH10063","Mathematics Project","37b8b290"
"M","Hong Kong","Korea (South) [Korea, Republic of]","OVERSEAS","Overseas/International fee rate","Mathematics (Pure Mathematics)",5,4,"MATH11093","Analysis of Nonlinear Waves","37b8b290"
"F","England","United Kingdom","HOME","UK fee rate","Mathematical Physics",5,5,"MATH10021","Algebra","52b4ba19"
"M","England","United Kingdom","HOME","UK fee rate","Mathematical Physics",5,5,"MATH10003","Financial Mathematics","6b741539"
"M","England","United Kingdom","HOME","UK fee rate","Mathematical Physics",5,5,"MATH10021","Algebra","6b741539"
"M","England","United Kingdom","HOME","UK fee rate","Physics",5,4,"MATH10002","Differential Geometry","93fd535a"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",5,5,"MATH10002","Differential Geometry","820885b7"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",5,5,"MATH10025","Algebraic Coding Theory","820885b7"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",5,5,"MATH10051","Fourier Analysis","820885b7"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",5,5,"MATH11093","Analysis of Nonlinear Waves","820885b7"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",5,5,"MATH11103","Geometry & Topology 2","820885b7"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",5,5,"MATH11104","Geometry & Topology 1","820885b7"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",5,5,"MATH11127","Mathematics Dissertation","820885b7"
"F","England","United Kingdom","HOME","UK fee rate","Mathematical Physics",6,4,"MATH10033","Complex Variable & Differential Equations","24706af0"
"F","England","United Kingdom","HOME","UK fee rate","Mathematical Physics",6,4,"MATH10074","Geometry","24706af0"
"F","England","United Kingdom","HOME","UK fee rate","Mathematical Physics",6,4,"MATH11027","Dynamical Systems","24706af0"
"F","England","United Kingdom","HOME","UK fee rate","Mathematics",4,4,"MATH10004","Likelihood","ae4eacde"
"F","England","United Kingdom","HOME","UK fee rate","Mathematics",4,4,"MATH10010","Mathematical Education","ae4eacde"
"F","England","United Kingdom","HOME","UK fee rate","Mathematics",4,4,"MATH10060","Numerical Ordinary Differential Equations and Applications","ae4eacde"
"F","England","United Kingdom","HOME","UK fee rate","Mathematics",4,4,"MATH10063","Mathematics Project","ae4eacde"
"F","England","United Kingdom","HOME","UK fee rate","Mathematics",4,4,"MATH11032","Large Scale Optimization","ae4eacde"
"F","England","United Kingdom","HOME","UK fee rate","Mathematics",4,4,"MATH11111","Fundamentals of Optimization","ae4eacde"
"F","Italy","Italy (includes Sardinia, Sicily)","SEU","EU/EEA fee rate","Mathematics",5,5,"MATH11098","Pure Analysis 1","7c7b84a7"
"F","Italy","Italy (includes Sardinia, Sicily)","SEU","EU/EEA fee rate","Mathematics",5,5,"MATH11103","Geometry & Topology 2","7c7b84a7"
"F","Italy","Italy (includes Sardinia, Sicily)","SEU","EU/EEA fee rate","Mathematics",5,5,"MATH11104","Geometry & Topology 1","7c7b84a7"
"F","Italy","Italy (includes Sardinia, Sicily)","SEU","EU/EEA fee rate","Mathematics",5,5,"MATH11126","Basic Algebra 2","7c7b84a7"
"F","Italy","Italy (includes Sardinia, Sicily)","SEU","EU/EEA fee rate","Mathematics",5,5,"MATH11127","Mathematics Dissertation","7c7b84a7"
"F","England","United Kingdom","HOME","UK fee rate","Mathematical Physics",5,5,"MATH10021","Algebra","d310fd3e"
"M","Italy","Italy (includes Sardinia, Sicily)","SEU","EU/EEA fee rate","Mathematical Physics",5,5,"MATH10002","Differential Geometry","27a452d3"
"M","Northern Ireland","United Kingdom","HOME","UK fee rate","Economics and Mathematics",4,4,"MATH10003","Financial Mathematics","d183ccdf"
"M","Northern Ireland","United Kingdom","HOME","UK fee rate","Economics and Mathematics",4,4,"MATH10005","Linear Statistical Modelling","d183ccdf"
"M","Northern Ireland","United Kingdom","HOME","UK fee rate","Economics and Mathematics",4,4,"MATH10010","Mathematical Education","d183ccdf"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",6,4,"MATH10003","Financial Mathematics","6f1d63ab"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",6,4,"MATH10006","Mathematical Computation & Communication Skills","6f1d63ab"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",6,4,"MATH10008","Pure & Applied Analysis","6f1d63ab"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",6,4,"MATH10010","Mathematical Education","6f1d63ab"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",6,4,"MATH10015","Simulation","6f1d63ab"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",6,4,"MATH10021","Algebra","6f1d63ab"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",6,4,"MATH10023","Numbers & Rings","6f1d63ab"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",6,4,"MATH10024","Probability, Measure & Finance","6f1d63ab"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",6,4,"MATH10027","Topology","6f1d63ab"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",6,4,"MATH10033","Complex Variable & Differential Equations","6f1d63ab"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",6,4,"MATH10063","Mathematics Project","6f1d63ab"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",6,4,"MATH10073","Linear Programming, Modelling and Solution","6f1d63ab"
"M","Romania","Romania","SEU","EU/EEA fee rate","Mathematical Physics",5,5,"MATH10046","Hilbert Spaces","2042b77c"
"M","Romania","Romania","SEU","EU/EEA fee rate","Mathematical Physics",5,5,"MATH11053","Introduction to Lie Groups","2042b77c"
"M","Romania","Romania","SEU","EU/EEA fee rate","Mathematical Physics",5,5,"MATH11093","Analysis of Nonlinear Waves","2042b77c"
"M","Scotland","United Kingdom","HOME","UK fee rate","Mathematical Physics",5,5,"MATH10021","Algebra","f49251a5"
"M","Scotland","United Kingdom","HOME","UK fee rate","Mathematical Physics",5,5,"MATH11103","Geometry & Topology 2","f49251a5"
"M","Scotland","United Kingdom","HOME","UK fee rate","Mathematical Physics",5,5,"MATH11104","Geometry & Topology 1","f49251a5"
"F","England","United Kingdom","HOME","UK fee rate","Mathematics",4,4,"MATH10010","Mathematical Education","3334034d"
"F","England","United Kingdom","HOME","UK fee rate","Mathematics",4,4,"MATH10027","Topology","3334034d"
"F","England","United Kingdom","HOME","UK fee rate","Mathematics",4,4,"MATH10046","Hilbert Spaces","3334034d"
"F","England","United Kingdom","HOME","UK fee rate","Mathematics",4,4,"MATH10051","Fourier Analysis","3334034d"
"F","England","United Kingdom","HOME","UK fee rate","Mathematics",4,4,"MATH10063","Mathematics Project","3334034d"
"F","England","United Kingdom","HOME","UK fee rate","Theoretical Physics",5,5,"MATH10001","Complex Variable","2163bbd2"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",4,4,"MATH10005","Linear Statistical Modelling","1960cd22"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",4,4,"MATH10010","Mathematical Education","1960cd22"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",4,4,"MATH10023","Numbers & Rings","1960cd22"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",4,4,"MATH10049","Metric Spaces","1960cd22"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",4,4,"MATH10063","Mathematics Project","1960cd22"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",4,4,"MATH11111","Fundamentals of Optimization","1960cd22"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics and Physics",4,4,"MATH10027","Topology","6e05bfd1"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics and Physics",4,4,"MATH10049","Metric Spaces","6e05bfd1"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics and Physics",4,4,"MATH10051","Fourier Analysis","6e05bfd1"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics and Physics",4,4,"MATH10054","Mathematical Computation & Communication Skills (Combined Degrees)","6e05bfd1"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics and Physics",4,4,"MATH10063","Mathematics Project","6e05bfd1"
"F","England","United Kingdom","HOME","UK fee rate","Mathematics",4,4,"MATH10010","Mathematical Education","71022b8d"
"F","England","United Kingdom","HOME","UK fee rate","Mathematics",4,4,"MATH10036","Number Theory","71022b8d"
"F","England","United Kingdom","HOME","UK fee rate","Mathematics",4,4,"MATH10046","Hilbert Spaces","71022b8d"
"F","England","United Kingdom","HOME","UK fee rate","Mathematics",4,4,"MATH10051","Fourier Analysis","71022b8d"
"F","England","United Kingdom","HOME","UK fee rate","Mathematics",4,4,"MATH10063","Mathematics Project","71022b8d"
"F","England","United Kingdom","HOME","UK fee rate","Mathematics",4,4,"MATH11053","Introduction to Lie Groups","71022b8d"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",6,5,"MATH10010","Mathematical Education","54dc3d58"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",6,5,"MATH10025","Algebraic Coding Theory","54dc3d58"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",6,5,"MATH10027","Topology","54dc3d58"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",6,5,"MATH10036","Number Theory","54dc3d58"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",6,5,"MATH10046","Hilbert Spaces","54dc3d58"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",6,5,"MATH10050","Jewels of Algebra","54dc3d58"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",6,5,"MATH10051","Fourier Analysis","54dc3d58"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",6,5,"MATH10063","Mathematics Project","54dc3d58"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",6,5,"MATH11027","Dynamical Systems","54dc3d58"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",6,5,"MATH11031","Nonlinear Optimization","54dc3d58"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",6,5,"MATH11053","Introduction to Lie Groups","54dc3d58"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",6,5,"MATH11104","Geometry & Topology 1","54dc3d58"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",6,5,"MATH11111","Fundamentals of Optimization","54dc3d58"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",6,5,"MATH11120","Algebraic Geometry","54dc3d58"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",6,5,"MATH11127","Mathematics Dissertation","54dc3d58"
"M","England","United Kingdom","HOME","UK fee rate","Theoretical Physics",6,5,"MATH10002","Differential Geometry","38f97ec"
"M","England","United Kingdom","HOME","UK fee rate","Theoretical Physics",6,5,"MATH10027","Topology","38f97ec"
"M","Scotland","Poland","SEU","EU/EEA fee rate","Mathematics",4,4,"MATH10004","Likelihood","ec5a0021"
"M","Scotland","Poland","SEU","EU/EEA fee rate","Mathematics",4,4,"MATH10007","Stochastic Modelling","ec5a0021"
"M","Scotland","Poland","SEU","EU/EEA fee rate","Mathematics",4,4,"MATH10015","Simulation","ec5a0021"
"M","Scotland","Poland","SEU","EU/EEA fee rate","Mathematics",4,4,"MATH10024","Probability, Measure & Finance","ec5a0021"
"M","Scotland","Poland","SEU","EU/EEA fee rate","Mathematics",4,4,"MATH10028","Theory of Statistical Inference","ec5a0021"
"M","Scotland","Poland","SEU","EU/EEA fee rate","Mathematics",4,4,"MATH10051","Fourier Analysis","ec5a0021"
"M","Scotland","Poland","SEU","EU/EEA fee rate","Mathematics",4,4,"MATH10063","Mathematics Project","ec5a0021"
"M","Scotland","Poland","SEU","EU/EEA fee rate","Mathematics",4,4,"MATH11024","The Analysis of Survival Data","ec5a0021"
"M","Scotland","Poland","SEU","EU/EEA fee rate","Mathematics",4,4,"MATH11111","Fundamentals of Optimization","ec5a0021"
"M","Scotland","Poland","SEU","EU/EEA fee rate","Mathematics",4,4,"MATH11116","Stochastic Models in Biology","ec5a0021"
"F","China","China","OVERSEAS","Overseas/International fee rate","Mathematics and Statistics",5,4,"MATH10004","Likelihood","eab2a9bb"
"F","China","China","OVERSEAS","Overseas/International fee rate","Mathematics and Statistics",5,4,"MATH10011","Data Analysis","eab2a9bb"
"F","China","China","OVERSEAS","Overseas/International fee rate","Mathematics and Statistics",5,4,"MATH10025","Algebraic Coding Theory","eab2a9bb"
"F","China","China","OVERSEAS","Overseas/International fee rate","Mathematics and Statistics",5,4,"MATH10049","Metric Spaces","eab2a9bb"
"F","China","China","OVERSEAS","Overseas/International fee rate","Mathematics and Statistics",5,4,"MATH10052","Nonparametric Regression","eab2a9bb"
"F","China","China","OVERSEAS","Overseas/International fee rate","Mathematics and Statistics",5,4,"MATH11024","The Analysis of Survival Data","eab2a9bb"
"F","China","China","OVERSEAS","Overseas/International fee rate","Mathematics and Statistics",5,4,"MATH11116","Stochastic Models in Biology","eab2a9bb"
"M","Netherlands","Netherlands","SEU","EU/EEA fee rate","Mathematical Physics",5,5,"MATH11093","Analysis of Nonlinear Waves","3eb1a1e6"
"M","Scotland","United Kingdom","HOME","UK fee rate","Mathematics",5,4,"MATH10002","Differential Geometry","a1583f94"
"M","Scotland","United Kingdom","HOME","UK fee rate","Mathematics",5,4,"MATH10046","Hilbert Spaces","a1583f94"
"M","Scotland","United Kingdom","HOME","UK fee rate","Mathematics",5,4,"MATH10051","Fourier Analysis","a1583f94"
"M","Scotland","United Kingdom","HOME","UK fee rate","Mathematics",5,4,"MATH10063","Mathematics Project","a1583f94"
"M","Scotland","United Kingdom","HOME","UK fee rate","Mathematics",5,4,"MATH11027","Dynamical Systems","a1583f94"
"M","Scotland","United Kingdom","HOME","UK fee rate","Mathematics",5,4,"MATH11031","Nonlinear Optimization","a1583f94"
"M","Scotland","United Kingdom","HOME","UK fee rate","Mathematics",5,4,"MATH11053","Introduction to Lie Groups","a1583f94"
"M","Scotland","United Kingdom","HOME","UK fee rate","Mathematics",5,4,"MATH11111","Fundamentals of Optimization","a1583f94"
"M","Scotland","United Kingdom","HOME","UK fee rate","Mathematics",5,4,"MATH11120","Algebraic Geometry","a1583f94"
"M","Scotland","United Kingdom","HOME","UK fee rate","Mathematics",5,5,"MATH11127","Mathematics Dissertation","c2efdeb7"
"M","Latvia","Latvia","SEU","EU/EEA fee rate","Mathematical Physics",5,5,"MATH10021","Algebra","b389eacd"
"M","Belgium","Ireland","SEU","EU/EEA fee rate","Theoretical Physics",6,5,"MATH10002","Differential Geometry","3bab6958"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",5,5,"MATH10007","Stochastic Modelling","904e1cc8"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",5,5,"MATH10025","Algebraic Coding Theory","904e1cc8"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",5,5,"MATH10059","Numerical Linear Algebra and Applications","904e1cc8"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",5,5,"MATH11093","Analysis of Nonlinear Waves","904e1cc8"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",5,5,"MATH11103","Geometry & Topology 2","904e1cc8"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",5,5,"MATH11104","Geometry & Topology 1","904e1cc8"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics",5,5,"MATH11127","Mathematics Dissertation","904e1cc8"
"F","Scotland","United Kingdom","HOME","UK fee rate","Mathematics",4,4,"MATH10005","Linear Statistical Modelling","88ce5997"
"F","Scotland","United Kingdom","HOME","UK fee rate","Mathematics",4,4,"MATH10010","Mathematical Education","88ce5997"
"F","Scotland","United Kingdom","HOME","UK fee rate","Mathematics",4,4,"MATH10049","Metric Spaces","88ce5997"
"F","Scotland","United Kingdom","HOME","UK fee rate","Mathematics",4,4,"MATH10063","Mathematics Project","88ce5997"
"F","Scotland","United Kingdom","HOME","UK fee rate","Mathematics",4,4,"MATH11032","Large Scale Optimization","88ce5997"
"F","Scotland","United Kingdom","HOME","UK fee rate","Mathematics",4,4,"MATH11111","Fundamentals of Optimization","88ce5997"
"M","Romania","Romania","SEU","EU/EEA fee rate","Mathematical Physics",5,5,"MATH10007","Stochastic Modelling","e9a66347"
"M","Romania","Romania","SEU","EU/EEA fee rate","Mathematical Physics",5,5,"MATH11027","Dynamical Systems","e9a66347"
"M","Romania","Romania","SEU","EU/EEA fee rate","Mathematical Physics",5,5,"MATH11053","Introduction to Lie Groups","e9a66347"
"M","Romania","Romania","SEU","EU/EEA fee rate","Mathematical Physics",5,5,"MATH11093","Analysis of Nonlinear Waves","e9a66347"
"M","Scotland","United Kingdom","HOME","UK fee rate","Chemical Engineering",6,4,"MATH08070","Mathematics for Science and Engineering 2b","b2535a4d"
"F","Scotland","United Kingdom","HOME","UK fee rate","Mathematics",4,4,"MATH09003","Geometry & Calculus of Variations","f8335045"
"F","Scotland","United Kingdom","HOME","UK fee rate","Mathematics",4,4,"MATH10003","Financial Mathematics","f8335045"
"F","Scotland","United Kingdom","HOME","UK fee rate","Mathematics",4,4,"MATH10006","Mathematical Computation & Communication Skills","f8335045"
"F","Scotland","United Kingdom","HOME","UK fee rate","Mathematics",4,4,"MATH10008","Pure & Applied Analysis","f8335045"
"F","Scotland","United Kingdom","HOME","UK fee rate","Mathematics",4,4,"MATH10010","Mathematical Education","f8335045"
"F","Scotland","United Kingdom","HOME","UK fee rate","Mathematics",4,4,"MATH10021","Algebra","f8335045"
"F","Scotland","United Kingdom","HOME","UK fee rate","Mathematics",4,4,"MATH10023","Numbers & Rings","f8335045"
"F","Scotland","United Kingdom","HOME","UK fee rate","Mathematics",4,4,"MATH10027","Topology","f8335045"
"F","Scotland","United Kingdom","HOME","UK fee rate","Mathematics",4,4,"MATH10033","Complex Variable & Differential Equations","f8335045"
"F","Scotland","United Kingdom","HOME","UK fee rate","Mathematics",4,4,"MATH10049","Metric Spaces","f8335045"
"F","Scotland","United Kingdom","HOME","UK fee rate","Mathematics",4,4,"MATH10050","Jewels of Algebra","f8335045"
"F","Scotland","United Kingdom","HOME","UK fee rate","Mathematics",4,4,"MATH10063","Mathematics Project","f8335045"
"F","Scotland","United Kingdom","HOME","UK fee rate","Mathematics",4,4,"MATH10071","Introduction to Number Theory","f8335045"
"F","Scotland","United Kingdom","HOME","UK fee rate","Mathematics",4,4,"MATH11120","Algebraic Geometry","f8335045"
"F","Scotland","United Kingdom","HOME","UK fee rate","Ordinary Sciences",4,3,"MATH08051","Statistics (Year 2)","c380a62e"
"F","Scotland","United Kingdom","HOME","UK fee rate","Ordinary Sciences",4,3,"MATH08063","Several Variable Calculus and Differential Equations","c380a62e"
"F","Scotland","United Kingdom","HOME","UK fee rate","Ordinary Sciences",4,3,"MATH08064","Fundamentals of Pure Mathematics","c380a62e"
