"State","Started.on","Completed","Time.taken","Grade.100.00","Q..1..5.00","Q..2..5.00","Q..3..5.00","Q..4..5.00","Q..5..5.00","Q..6..5.00","Q..7..5.00","Q..8..5.00","Q..9..5.00","Q..10..5.00","Q..11..5.00","Q..12..5.00","Q..13..5.00","Q..14..5.00","Q..15..5.00","Q..16..5.00","Q..17..5.00","Q..18..5.00","Q..19..5.00","Q..20..5.00","AnonID"
"Finished","9 January 2019  4:55 PM","9 January 2019  5:26 PM","31 mins 2 secs",84.5,"5.00","5.00","5.00","5.00","2.00","5.00","0.00","5.00","2.50","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","20e0cb9e"
"Finished","9 January 2019  6:25 PM","9 January 2019  7:49 PM","1 hour 24 mins",77,"5.00","5.00","5.00","0.00","-","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","0.00","5.00","d633b33d"
"Finished","10 January 2019  1:03 PM","10 January 2019  2:35 PM","1 hour 32 mins",63.75,"5.00","-","3.75","5.00","-","5.00","-","5.00","5.00","-","5.00","5.00","5.00","5.00","5.00","5.00","5.00","-","-","-","eae06ea1"
"Finished","11 January 2019  4:16 PM","11 January 2019  5:22 PM","1 hour 5 mins",93,"5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","3.00","5.00","5.00","5.00","5.00","5.00","5.00","52be5718"
"Finished","12 January 2019  3:20 PM","12 January 2019  4:13 PM","53 mins 23 secs",100,"5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","36f7c876"
"Finished","12 January 2019  11:13 PM","12 January 2019  11:45 PM","32 mins 4 secs",78.5,"5.00","5.00","2.50","5.00","2.00","5.00","5.00","5.00","2.50","2.50","2.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","0.00","f9c8de6b"
"Finished","13 January 2019  9:02 AM","13 January 2019  9:34 AM","32 mins 17 secs",89,"5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","2.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00","5c9fb521"
"Finished","13 January 2019  11:53 AM","13 January 2019  1:19 PM","1 hour 26 mins",87,"5.00","5.00","5.00","5.00","2.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","a84d7404"
"Finished","13 January 2019  2:06 PM","13 January 2019  2:45 PM","38 mins 36 secs",71,"5.00","5.00","3.75","5.00","2.00","5.00","-","5.00","5.00","1.25","2.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","-","0.00","1ad6fb53"
"Finished","13 January 2019  3:29 PM","13 January 2019  4:27 PM","58 mins 35 secs",76.5,"5.00","5.00","3.75","5.00","2.00","5.00","0.00","5.00","0.00","3.75","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00","89c5878a"
"Finished","14 January 2019  11:13 AM","14 January 2019  12:00 PM","47 mins 20 secs",82,"5.00","5.00","5.00","5.00","2.00","2.50","0.00","5.00","2.50","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","5.00","201d5950"
"Finished","14 January 2019  12:27 PM","14 January 2019  1:14 PM","46 mins 38 secs",82.5,"5.00","5.00","5.00","0.00","5.00","0.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","2.50","5.00","5.00","5.00","5.00","5.00","4034c4cd"
"Finished","14 January 2019  2:06 PM","14 January 2019  2:58 PM","51 mins 36 secs",93.38,"5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","4.38","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00","03cf9dee"
"Finished","14 January 2019  2:14 PM","14 January 2019  3:38 PM","1 hour 24 mins",78.75,"5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","2.50","1.25","5.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","0.00","83c65465"
"Finished","14 January 2019  2:18 PM","14 January 2019  3:48 PM","1 hour 29 mins",62.25,"5.00","5.00","2.50","5.00","-","5.00","0.00","5.00","2.50","1.25","5.00","5.00","5.00","1.00","0.00","5.00","5.00","0.00","-","5.00","fac2d6c8"
"Finished","14 January 2019  2:19 PM","14 January 2019  3:13 PM","53 mins 57 secs",29.13,"0.00","0.00","3.75","5.00","0.00","2.50","0.00","0.00","2.50","1.88","1.00","0.00","0.00","0.00","2.50","5.00","5.00","0.00","0.00","0.00","2c12442d"
"Finished","14 January 2019  2:22 PM","14 January 2019  3:21 PM","58 mins 44 secs",93.88,"5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","2.50","4.38","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00","e6ea5c56"
"Finished","14 January 2019  2:24 PM","14 January 2019  3:54 PM","1 hour 30 mins",62.63,"5.00","5.00","2.50","5.00","2.00","5.00","5.00","0.00","5.00","3.13","5.00","5.00","5.00","-","0.00","5.00","5.00","-","0.00","0.00","16d61f31"
"Finished","14 January 2019  2:24 PM","14 January 2019  3:20 PM","55 mins 40 secs",73.88,"5.00","5.00","5.00","5.00","0.00","5.00","0.00","5.00","5.00","1.88","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","0.00","0.00","40b657c2"
"Finished","14 January 2019  2:45 PM","14 January 2019  3:51 PM","1 hour 6 mins",93.25,"5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","2.50","3.75","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","e924a621"
"Finished","14 January 2019  2:52 PM","14 January 2019  3:58 PM","1 hour 6 mins",54,"5.00","0.00","1.25","0.00","5.00","0.00","0.00","5.00","5.00","3.75","2.00","5.00","5.00","2.00","0.00","5.00","5.00","5.00","0.00","-","d0ad6f07"
"Finished","14 January 2019  2:53 PM","14 January 2019  4:35 PM","1 hour 41 mins",15,"5.00","5.00","5.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4db27dac"
"Finished","14 January 2019  3:34 PM","14 January 2019  4:24 PM","50 mins 41 secs",75.75,"0.00","-","5.00","-","2.00","5.00","5.00","5.00","5.00","3.75","5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","a279e65d"
"Finished","14 January 2019  3:49 PM","14 January 2019  4:33 PM","43 mins 34 secs",84.5,"5.00","0.00","5.00","5.00","2.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","2.50","5.00","5.00","5.00","5.00","5.00","04b22180"
"Finished","14 January 2019  3:55 PM","14 January 2019  5:16 PM","1 hour 20 mins",76.5,"5.00","5.00","5.00","5.00","0.00","5.00","0.00","5.00","5.00","5.00","5.00","0.00","2.00","2.00","2.50","5.00","5.00","5.00","5.00","5.00","ad239f05"
"Finished","14 January 2019  3:56 PM","14 January 2019  4:44 PM","47 mins 55 secs",83.25,"5.00","5.00","5.00","5.00","2.00","5.00","0.00","5.00","5.00","1.25","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","ba33492b"
"Finished","14 January 2019  4:09 PM","14 January 2019  4:58 PM","48 mins 39 secs",94,"5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","524e2283"
"Finished","14 January 2019  4:16 PM","14 January 2019  5:20 PM","1 hour 4 mins",90,"5.00","5.00","5.00","5.00","0.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","fd978132"
"Finished","14 January 2019  4:48 PM","14 January 2019  6:06 PM","1 hour 17 mins",73.75,"2.50","5.00","3.75","0.00","0.00","5.00","5.00","5.00","2.50","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00","-","d476ae40"
"Finished","14 January 2019  5:14 PM","14 January 2019  5:55 PM","41 mins 18 secs",95,"5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","4cdebd61"
"Finished","14 January 2019  5:32 PM","14 January 2019  6:25 PM","52 mins 51 secs",92,"5.00","5.00","5.00","5.00","-","5.00","5.00","5.00","5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","d6f7bf2b"
"Finished","14 January 2019  6:20 PM","14 January 2019  7:10 PM","50 mins 23 secs",93,"5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","1.00","5.00","5.00","5.00","5.00","5.00","5.00","78eb25c9"
"Finished","14 January 2019  7:24 PM","14 January 2019  8:32 PM","1 hour 8 mins",72.63,"5.00","5.00","2.50","0.00","0.00","5.00","0.00","5.00","5.00","3.13","5.00","0.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00","81d9a98a"
"Finished","14 January 2019  7:26 PM","14 January 2019  8:38 PM","1 hour 12 mins",81.5,"5.00","5.00","5.00","5.00","2.00","0.00","5.00","5.00","5.00","2.50","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","0.00","231165b3"
"Finished","14 January 2019  7:31 PM","14 January 2019  8:35 PM","1 hour 4 mins",92.5,"5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","2.50","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","fee2ff0d"
"Finished","14 January 2019  8:01 PM","14 January 2019  9:08 PM","1 hour 7 mins",80.25,"5.00","5.00","1.25","5.00","2.00","5.00","0.00","5.00","5.00","5.00","2.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","c7ea81e6"
"Finished","14 January 2019  8:23 PM","14 January 2019  9:05 PM","42 mins 48 secs",60.13,"5.00","5.00","0.00","5.00","-","5.00","0.00","5.00","5.00","3.13","5.00","-","5.00","2.00","5.00","5.00","5.00","0.00","-","0.00","f06d81c6"
"Finished","14 January 2019  8:25 PM","14 January 2019  9:45 PM","1 hour 20 mins",99.38,"5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","4.38","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","b384f86f"
"Finished","14 January 2019  8:38 PM","14 January 2019  9:55 PM","1 hour 17 mins",88.25,"5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","0.00","1.25","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","a680ced8"
"Finished","14 January 2019  8:39 PM","14 January 2019  9:52 PM","1 hour 12 mins",91.38,"5.00","5.00","3.75","5.00","5.00","5.00","5.00","5.00","2.50","3.13","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00","120e7c82"
"Finished","14 January 2019  8:46 PM","14 January 2019  10:06 PM","1 hour 20 mins",81.5,"2.50","5.00","1.25","5.00","2.00","5.00","5.00","5.00","5.00","1.25","2.00","5.00","5.00","5.00","2.50","5.00","5.00","5.00","5.00","5.00","289c6d8c"
"Finished","14 January 2019  9:13 PM","14 January 2019  10:35 PM","1 hour 21 mins",87,"5.00","5.00","5.00","5.00","2.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00","3f401296"
"Finished","14 January 2019  9:22 PM","14 January 2019  10:27 PM","1 hour 5 mins",87,"5.00","0.00","5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","aee1ff53"
"Finished","14 January 2019  10:28 PM","14 January 2019  11:10 PM","42 mins 8 secs",86,"5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","1.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","238c7f6f"
"Finished","14 January 2019  10:36 PM","14 January 2019  11:33 PM","57 mins 10 secs",79.5,"5.00","5.00","5.00","5.00","0.00","5.00","0.00","5.00","2.50","5.00","5.00","5.00","2.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","653a9e68"
"Finished","14 January 2019  11:01 PM","15 January 2019  12:21 AM","1 hour 20 mins",90.13,"5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","3.13","5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","48258bae"
"Finished","15 January 2019  3:24 AM","15 January 2019  4:08 AM","44 mins 15 secs",67.75,"5.00","5.00","3.75","5.00","2.00","5.00","-","5.00","0.00","0.00","5.00","5.00","5.00","2.00","0.00","5.00","5.00","5.00","-","5.00","b0c5dc2c"
"Finished","15 January 2019  4:55 AM","15 January 2019  5:47 AM","52 mins 6 secs",83.75,"5.00","5.00","5.00","5.00","0.00","5.00","0.00","5.00","5.00","3.75","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","4fdf608e"
"Finished","15 January 2019  6:40 AM","15 January 2019  7:32 AM","51 mins 50 secs",90,"5.00","5.00","5.00","5.00","0.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","23cf019f"
"Finished","15 January 2019  7:28 AM","15 January 2019  8:26 AM","58 mins 31 secs",79.5,"5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","2.50","5.00","0.00","0.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00","ef5f50c6"
