"Course.Year","Course.Code","Course.Name","Assessment.Attempt.Number","Assessment.Mark","Assessment.Grade","grade","AnonID"
"2014/5","PHYS08035","Mathematics for Physics 1",1,46,"D","3rd","1fd563de"
"2014/5","PHYS08036","Mathematics for Physics 2",1,47,"D","3rd","1fd563de"
"2014/5","MATH08060","Mathematics for Science and Engineering 1a",1,43,"FF","FF","f2665180"
"2014/5","MATH08060","Mathematics for Science and Engineering 1a",2,67,"B","2.1","f2665180"
"2014/5","MATH08061","Mathematics for Science and Engineering 1b",1,56,"C","2.2","f2665180"
"2014/5","MATH08060","Mathematics for Science and Engineering 1a",1,71,"A3","1st","aaf00695"
"2014/5","MATH08061","Mathematics for Science and Engineering 1b",1,43,"FF","FF","aaf00695"
"2014/5","MATH08061","Mathematics for Science and Engineering 1b",2,60,"B","2.1","aaf00695"
"2014/5","MATH08060","Mathematics for Science and Engineering 1a",1,70,"A3","1st","7bf867f9"
"2014/5","MATH08061","Mathematics for Science and Engineering 1b",1,32,"E","Fail","7bf867f9"
"2014/5","MATH08061","Mathematics for Science and Engineering 1b",2,50,"C","2.2","7bf867f9"
"2014/5","MATH08060","Mathematics for Science and Engineering 1a",1,45,"D","3rd","a61fd0dc"
"2014/5","MATH08061","Mathematics for Science and Engineering 1b",1,39,"E","Fail","a61fd0dc"
"2014/5","MATH08061","Mathematics for Science and Engineering 1b",2,47,"D","3rd","a61fd0dc"
"2014/5","MATH08057","Introduction to Linear Algebra",1,37,"E","Fail","f996406d"
"2014/5","MATH08057","Introduction to Linear Algebra",2,65,"B","2.1","f996406d"
"2014/5","MATH08058","Calculus and its Applications",1,62,"B","2.1","f996406d"
"2014/5","MATH08059","Proofs and Problem Solving",1,46,"D","3rd","f996406d"
"2015/6","MATH08051","Statistics (Year 2)",1,47,"D","3rd","f996406d"
"2015/6","MATH08063","Several Variable Calculus and Differential Equations",1,54,"C","2.2","f996406d"
"2015/6","MATH08064","Fundamentals of Pure Mathematics",1,45,"D","3rd","f996406d"
"2015/6","MATH08065","Computing and Numerics",1,80,"A2","1st","f996406d"
"2015/6","MATH08066","Probability",1,61,"B","2.1","f996406d"
"2015/6","MATH08068","Facets of Mathematics",1,55,"C","2.2","f996406d"
"2014/5","MATH08060","Mathematics for Science and Engineering 1a",1,56,"C","2.2","e98c635c"
"2014/5","MATH08061","Mathematics for Science and Engineering 1b",1,67,"B","2.1","e98c635c"
"2014/5","MATH08057","Introduction to Linear Algebra",1,29,"F","Fail","e3ad4588"
"2014/5","MATH08058","Calculus and its Applications",1,52,"C","2.2","e3ad4588"
"2014/5","MATH08059","Proofs and Problem Solving",1,51,"C","2.2","e3ad4588"
"2014/5","MATH08060","Mathematics for Science and Engineering 1a",1,84,"A2","1st","32096a6"
"2014/5","MATH08061","Mathematics for Science and Engineering 1b",1,66,"B","2.1","32096a6"
