"Course.Year","Course.Code","Course.Name","Assessment.Attempt.Number","Assessment.Mark","Assessment.Grade","grade","AnonID"
"2015/6","MATH08063","Several Variable Calculus and Differential Equations",1,65,"B","2.1","19b36f5d"
"2015/6","MATH08064","Fundamentals of Pure Mathematics",1,49,"D","3rd","19b36f5d"
"2015/6","MATH08065","Computing and Numerics",1,78,"A3","1st","19b36f5d"
"2015/6","MATH08066","Probability",1,10,"G","Fail","19b36f5d"
"2015/6","MATH08066","Probability",2,24,"F","Fail","19b36f5d"
"2016/7","MATH08066","Probability",2,68,"B","2.1","19b36f5d"
"2014/5","MATH08057","Introduction to Linear Algebra",1,57,"C","2.2","da7391c9"
"2014/5","MATH08058","Calculus and its Applications",1,62,"B","2.1","da7391c9"
"2014/5","MATH08059","Proofs and Problem Solving",1,74,"A3","1st","da7391c9"
"2015/6","MATH08051","Statistics (Year 2)",1,57,"C","2.2","da7391c9"
"2015/6","MATH08063","Several Variable Calculus and Differential Equations",1,67,"B","2.1","da7391c9"
"2015/6","MATH08064","Fundamentals of Pure Mathematics",1,66,"B","2.1","da7391c9"
"2015/6","MATH08065","Computing and Numerics",1,88,"A2","1st","da7391c9"
"2015/6","MATH08066","Probability",1,73,"A3","1st","da7391c9"
"2014/5","MATH08057","Introduction to Linear Algebra",1,36,"E","Fail","5aa28841"
"2014/5","MATH08058","Calculus and its Applications",1,25,"F","Fail","5aa28841"
"2014/5","PHYS08035","Mathematics for Physics 1",1,72,"A3","1st","4218715d"
"2014/5","PHYS08036","Mathematics for Physics 2",1,57,"C","2.2","4218715d"
"2015/6","MATH08072","Mathematics for the Natural Sciences 1a",1,40,"D","3rd","6ac8cfdf"
"2015/6","MATH08073","Mathematics for the Natural Sciences 1b",1,18,"G","Fail","6ac8cfdf"
