"Gender","Fee.Status.Grouping","Fee.Status.Description","Maths.Grade","Further.Maths.Grade","AnonID"
"M","SEU","Scotland fee rate","AH A1","","312ada16"
"M","SEU","EU/EEA fee rate","A-Level A","FM A-Level A*","e97af676"
"M","SEU","EU/EEA fee rate","A-Level A*","FM A-Level A*","97da70cb"
"M","SEU","EU/EEA fee rate","","","c272c6ae"
"F","SEU","Scotland fee rate","AH C5","","1b2383a"
"M","SEU","EU/EEA fee rate","A-Level A*","FM A-Level A","edbdbf88"
"M","SEU","Scotland fee rate","AH A1","","3ad220d5"
"M","SEU","Scotland fee rate","AH B3","","7aadceec"
"F","SEU","Scotland fee rate","AH A1","","10c74063"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A*","f0ffc0e"
"F","SEU","Scotland fee rate","AH A2","","27df428c"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A*","","ad5e59e"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A*","dd2db68a"
"M","SEU","Scotland fee rate","AH A2","","d8f7af1a"
"M","SEU","EU/EEA fee rate","","","8910151b"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A*","a30575ad"
"F","SEU","EU/EEA fee rate","IB HL H7","","4388a683"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level B","1ca0d3b0"
"M","SEU","Scotland fee rate","AH B3","","336faa96"
"M","SEU","Scotland fee rate","AH A1","","474fef7d"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A","f60c264a"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A","443684a5"
"M","SEU","Scotland fee rate","","","f9e07bf3"
"M","SEU","EU/EEA fee rate","A-Level A*","","d15fd981"
"M","SEU","Scotland fee rate","AH B4","","1a527fed"
"M","OVERSEAS","Overseas/International fee rate","IB SL S6","","78cb6b7f"
"M","SEU","Scotland fee rate","AH A2","","857518ed"
"M","OVERSEAS","Overseas/International fee rate","A-Level A","FM A-Level D","f1423ffb"
"F","SEU","Scotland fee rate","AH C6","","2d27ffd7"
"M","OVERSEAS","Overseas/International fee rate","","","76408680"
"M","SEU","EU/EEA fee rate","","","9dd77a13"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A","","e8622a0c"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A*","a80aa6c8"
"F","OVERSEAS","Overseas/International fee rate","A-Level A","","c14a03af"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A","a867241d"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A","FM A-Level A","1924ed2a"
"M","OVERSEAS","Overseas/International fee rate","A-Level A*","FM A-Level A","cde1f72b"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A","","58178d68"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","","37e338ba"
"M","SEU","EU/EEA fee rate","A-Level A*","FM A-Level A","6c25a46f"
"M","SEU","EU/EEA fee rate","A-Level A*","FM A-Level A","e9b2cc76"
"M","OVERSEAS","Overseas/International fee rate","A-Level A*","FM A-Level A","2bf045eb"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A","","2f96e997"
"F","SEU","Scotland fee rate","AH C5","","ff717d27"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A*","d2527a2d"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A","FM A-Level A","271f93a2"
"F","OVERSEAS","Overseas/International fee rate","IB HL H7","","891ca362"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A","4acb3f0b"
"F","OVERSEAS","Overseas/International fee rate","A-Level A*","FM A-Level B","dd08a0eb"
"M","OVERSEAS","Overseas/International fee rate","IB HL H5","","515bedff"
"M","OVERSEAS","Overseas/International fee rate","","","5eb7b046"
"M","SEU","Scotland fee rate","AH A2","","79f32d70"
"F","OVERSEAS","Overseas/International fee rate","","","13a7611a"
"M","SEU","Scotland fee rate","AH A2","","a447da65"
"F","SEU","Scotland fee rate","AH A2","","c1852b9e"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A","","549408b7"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A","","b5b20c88"
"F","SEU","Scotland fee rate","AH A2","","bbcb44c5"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A*","39df8379"
"M","OVERSEAS","Overseas/International fee rate","A-Level A*","FM A-Level A*","38633695"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A","cf4ae4ac"
"M","SEU","EU/EEA fee rate","A-Level A*","FM A-Level A","12d7b3a1"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A*","d21cd29"
"M","SEU","Scotland fee rate","AH C5","","3cb31d96"
"F","OVERSEAS","Overseas/International fee rate","A-Level A*","","8af871f8"
"M","SEU","EU/EEA fee rate","","","39690406"
"M","SEU","Scotland fee rate","AH B4","","14abbae5"
"M","SEU","Scotland fee rate","AH A1","","901c0f11"
"M","SEU","EU/EEA fee rate","","","f2851b83"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A","FM A-Level A","f339ae6f"
"M","SEU","EU/EEA fee rate","","","ce008a54"
"M","SEU","EU/EEA fee rate","","","f12c809"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A","FM A-Level A","14821afd"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A","c972cf25"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A","FM A-Level A","443cd25f"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A","","a98fe001"
"F","OVERSEAS","Overseas/International fee rate","","","e85bd929"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A*","","a1040411"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A","","bb286309"
"M","OVERSEAS","Overseas/International fee rate","","","ab324038"
"F","OVERSEAS","Overseas/International fee rate","A-Level A*","FM A-Level A","cad23f72"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A*","","d498f416"
"M","OVERSEAS","Overseas/International fee rate","A-Level A*","FM A-Level A","b4c43eb0"
"M","SEU","EU/EEA fee rate","","","3d73a8d1"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A","FM A-Level A","8ac0539e"
"M","SEU","EU/EEA fee rate","","FM A-Level A","1cbf7992"
"M","SEU","EU/EEA fee rate","","","31b5de80"
"M","SEU","EU/EEA fee rate","","","ef78424d"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A*","b39fdbd9"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","","eb1eee31"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A","FM A-Level A","8f856d69"
"M","OVERSEAS","Overseas/International fee rate","IB HL H7","","5a6c1cfc"
"M","SEU","Scotland fee rate","AH B4","","706e1eb7"
"M","OVERSEAS","Overseas/International fee rate","A-Level A*","FM A-Level A","5bee6bf5"
"F","OVERSEAS","Overseas/International fee rate","AH A1","","c7b0672d"
"M","SEU","Scotland fee rate","AH B4","","f2175bde"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","","22b4eda3"
"F","SEU","Scotland fee rate","AH A2","","71a84b73"
"M","SEU","EU/EEA fee rate","IB HL H6","FM IB H5","5a16fcd4"
"F","SEU","EU/EEA fee rate","A-Level A*","FM A-Level A","3a4a3672"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A","","89cc2171"
"M","SEU","Scotland fee rate","AH A2","","a87a101a"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A*","e0e106c3"
"M","OVERSEAS","Overseas/International fee rate","A-Level B","","39bb1830"
"M","SEU","Scotland fee rate","AH A1","","d88a7ef2"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A","","e75f24e5"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A*","25236f9d"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A","44c310d7"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A","6c6bd058"
"M","SEU","EU/EEA fee rate","A-Level A","","4de323d6"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","","580ab96f"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A","120731b2"
"M","SEU","EU/EEA fee rate","","","7c1c71bc"
"M","OVERSEAS","Overseas/International fee rate","A-Level A*","FM A-Level A","8e4e5f97"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A","43de4956"
"M","SEU","EU/EEA fee rate","","","bff52f30"
"F","SEU","EU/EEA fee rate","","","903a5616"
"M","SEU","EU/EEA fee rate","","","95e04f86"
"F","SEU","EU/EEA fee rate","","","e5a6a611"
"M","SEU","EU/EEA fee rate","A-Level A*","FM A-Level A","26665885"
"M","SEU","Scotland fee rate","AH A2","","eaeb1e2a"
"M","SEU","EU/EEA fee rate","","","d38a5488"
"M","OVERSEAS","Overseas/International fee rate","A-Level A","FM A-Level C","cfe86db9"
"M","SEU","Scotland fee rate","AH A2","","1c25d2e1"
"M","SEU","EU/EEA fee rate","IB SL S6","","f8d9cf4e"
"M","SEU","Scotland fee rate","AH A1","","748a825a"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","","a00bba96"
"M","OVERSEAS","Overseas/International fee rate","","","e77cf1f6"
"M","SEU","EU/EEA fee rate","","","69c3c2ce"
"M","SEU","EU/EEA fee rate","IB HL H6","","4b325a98"
"M","SEU","EU/EEA fee rate","IB HL H7","","df9a414"
"M","SEU","EU/EEA fee rate","","","53dbe3b4"
"M","SEU","EU/EEA fee rate","","","62ffb474"
"M","SEU","EU/EEA fee rate","","","6cb83edc"
"M","OVERSEAS","Overseas/International fee rate","","","4d30cd52"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","","7a50b1b0"
"M","SEU","EU/EEA fee rate","","","5b9c60f3"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A","","2b52ccfe"
"F","OVERSEAS","Overseas/International fee rate","","","299712ca"
"M","SEU","EU/EEA fee rate","A-Level A*","","b475abfe"
"M","OVERSEAS","Overseas/International fee rate","","","aef7d07b"
"F","OVERSEAS","Overseas/International fee rate","","","3e3ceac2"
"M","OVERSEAS","Overseas/International fee rate","","","b5706072"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","","7339c746"
"F","OVERSEAS","Overseas/International fee rate","IB HL H7","","2849dcec"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A","FM A-Level A","f704a90d"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A","4ea32ca"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A*","","d84395b1"
"M","OVERSEAS","Overseas/International fee rate","A-Level A","","62b720c0"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A","bc531c15"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A","","e1edf722"
"M","OVERSEAS","Overseas/International fee rate","AS-Level E","","a1857be6"
"M","SEU","Scotland fee rate","A-Level A*","FM A-Level A","e36e95fe"
"F","SEU","EU/EEA fee rate","AH A1","","49103a1"
"F","SEU","Scotland fee rate","AH A1","","ac14f4d6"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A","","d21597e9"
"M","OVERSEAS","Overseas/International fee rate","A-Level A","","c82e920c"
"F","OVERSEAS","Overseas/International fee rate","IB HL H6","","f4ef2116"
"M","SEU","Scotland fee rate","AH A2","","d209c05"
"F","SEU","Scotland fee rate","AH A2","","792979f6"
"M","OVERSEAS","Overseas/International fee rate","","","553e8e8a"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A","26010cc5"
"M","SEU","Scotland fee rate","AH A1","","9bb8ef63"
"M","OVERSEAS","Overseas/International fee rate","IB SL S7","","713dba81"
"M","OVERSEAS","Overseas/International fee rate","","","9c8e88df"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A","FM A-Level A","750856cd"
"M","OVERSEAS","Overseas/International fee rate","A-Level A*","FM AS-Level A","2da0c33d"
"M","SEU","EU/EEA fee rate","","","69b67867"
"F","SEU","EU/EEA fee rate","","","d0062b4d"
"F","SEU","Scotland fee rate","AH C6","","79ff1b66"
"M","OVERSEAS","Overseas/International fee rate","","FM A-Level A","a4624c6b"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A","c5823321"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A","","7b2da7af"
"F","OVERSEAS","Overseas/International fee rate","A-Level A*","FM A-Level A","c4a4b79"
"F","OVERSEAS","Overseas/International fee rate","","","33299611"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A","642be2b0"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A","cb35821e"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level B","148f6c9"
"M","OVERSEAS","Overseas/International fee rate","A-Level A","FM A-Level B","82336a1d"
"M","OVERSEAS","Overseas/International fee rate","A-Level A*","","9229492c"
"M","SEU","Scotland fee rate","AH B4","","eb1e4daf"
"M","OVERSEAS","Overseas/International fee rate","A-Level A*","FM A-Level A","8de1f541"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A","","adb831f6"
"M","SEU","Scotland fee rate","AH A2","","d98f16e0"
"M","SEU","EU/EEA fee rate","A-Level A*","FM A-Level A*","6ac7f891"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A*","fe6a6e54"
"F","OVERSEAS","Overseas/International fee rate","","","3251af84"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A","","a06189ec"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A","666c0c15"
"M","OVERSEAS","Overseas/International fee rate","A-Level A*","FM A-Level A","43d113d7"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A*","","947a00f3"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A","4b13a4a"
"F","SEU","Scotland fee rate","AH A2","","d2a9659d"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A","6b1936b7"
"F","SEU","Scotland fee rate","AH A2","","11137b21"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A*","","b6c04377"
"F","OVERSEAS","Overseas/International fee rate","A-Level A","FM A-Level A","62a4bcf4"
"F","SEU","Scotland fee rate","AH B3","","13269e82"
"M","OVERSEAS","Overseas/International fee rate","","","fd8145d1"
"M","SEU","Scotland fee rate","AH D7","","cf7d9c4b"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A*","692cd314"
"M","OVERSEAS","Overseas/International fee rate","A-Level A*","FM A-Level A","9ac248d3"
"M","SEU","Scotland fee rate","AH A2","","e4c32bec"
"M","SEU","Scotland fee rate","AH B3","","3cadc569"
"N","SEU","Scotland fee rate","AH C6","","6e91be54"
"M","OVERSEAS","Overseas/International fee rate","IB HL H6","","af949ef4"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A","FM A-Level B","d5cd9352"
"F","SEU","EU/EEA fee rate","","","3f322698"
"M","OVERSEAS","Overseas/International fee rate","A-Level A","FM A-Level C","88d29de7"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","","e6e07df1"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A*","db467ead"
"F","SEU","Scotland fee rate","AH A1","","e09a9436"
"F","SEU","Scotland fee rate","AH A2","","b0e83bc3"
"M","SEU","EU/EEA fee rate","","","84a0f2ec"
"M","SEU","Scotland fee rate","AH B3","","966aa0c"
"M","OVERSEAS","Overseas/International fee rate","A-Level A","FM A-Level B","e0f716e3"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A","FM A-Level A","5021ca20"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A*","78f174a2"
"M","SEU","Scotland fee rate","AH C5","","20c6c635"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level B","15edc1fa"
"M","SEU","EU/EEA fee rate","A-Level A","FM A-Level B","d62d3f6e"
"M","OVERSEAS","Overseas/International fee rate","A-Level A","FM A-Level B","6beca2c5"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A","","3a4f3a09"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A","8daf8176"
"F","SEU","Scotland fee rate","AH B3","","664ffaf7"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A","","54a44190"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A*","4c18c98"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A","efab2ca6"
"F","SEU","Scotland fee rate","AH A1","","736a0719"
"F","SEU","Scotland fee rate","AH A2","","7b1e2181"
"F","SEU","Scotland fee rate","AH D7","","b71b22b4"
"M","SEU","EU/EEA fee rate","","","67b894c9"
"F","SEU","Scotland fee rate","AH D7","","9684b3c7"
"F","OVERSEAS","Overseas/International fee rate","A-Level A*","FM A-Level A","115d0f16"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A","","9fcb9c36"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A","2551e4f4"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A","","b59ade4d"
"F","OVERSEAS","Overseas/International fee rate","A-Level A*","FM A-Level A","c8cb76b2"
"M","SEU","Scotland fee rate","AH A1","","6510c828"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A","45856bc8"
"F","SEU","Scotland fee rate","AH C5","","606b343a"
"F","SEU","Scotland fee rate","AH A1","","9c69f244"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A","","c0dfb5c5"
"F","SEU","Scotland fee rate","AH A2","","6d040b5f"
"F","OVERSEAS","Overseas/International fee rate","A-Level A*","FM A-Level B","56f3dff9"
"M","SEU","Scotland fee rate","AH B4","","477ce93c"
"M","SEU","Scotland fee rate","AH D7","","ab640c73"
"M","SEU","Scotland fee rate","AH B4","","32e0193b"
"F","SEU","Scotland fee rate","AH A1","","b58f2295"
"M","SEU","EU/EEA fee rate","","","94c35d62"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A*","293c022c"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A","","deb43597"
"M","OVERSEAS","Overseas/International fee rate","","","8f0d36f"
"F","OVERSEAS","Overseas/International fee rate","A-Level A","","db3d6c37"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A","","9e989b9e"
"M","OVERSEAS","Overseas/International fee rate","A-Level A*","FM A-Level A","e53a127"
"M","OVERSEAS","Overseas/International fee rate","A-Level A*","FM A-Level A","c025fb59"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","","f4154c7b"
"F","SEU","Scotland fee rate","AH A1","","3f314a0f"
"F","SEU","Scotland fee rate","AH A1","","8fe796cc"
"M","OVERSEAS","Overseas/International fee rate","IB HL H6","","9ffdb5fd"
"F","SEU","Scotland fee rate","AH C5","","50bf1ff5"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A","FM A-Level A","ebddf016"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A*","4ab1c7c"
"M","SEU","EU/EEA fee rate","IB HL H7","","d408aa01"
"M","OVERSEAS","Overseas/International fee rate","","","8cdadfd9"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","","86fbf90d"
"M","SEU","Scotland fee rate","A-Level A","","74a9d726"
"M","SEU","EU/EEA fee rate","","","319307e8"
"M","OVERSEAS","Overseas/International fee rate","","","e5561de9"
"M","SEU","Scotland fee rate","AH A2","","58399cdf"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","","f41ab564"
"F","SEU","Scotland fee rate","AH A1","","c0527c4b"
"M","SEU","EU/EEA fee rate","","","36eebb86"
"F","SEU","Scotland fee rate","AH B3","","8f5ee8ac"
"M","OVERSEAS","Overseas/International fee rate","IB HL H6","","96739a61"
"M","SEU","EU/EEA fee rate","IB HL H7","","5bdd4e45"
"M","SEU","Scotland fee rate","AH B4","","6a4f9efa"
"M","SEU","Scotland fee rate","AH A1","","f6119222"
"F","SEU","Scotland fee rate","AH A2","","765045"
"M","OVERSEAS","Overseas/International fee rate","","","adadeedf"
"M","SEU","Scotland fee rate","Higher A2","","343e996a"
"M","SEU","Scotland fee rate","AH C5","","2f90897b"
"F","SEU","EU/EEA fee rate","","","8e7cab64"
"M","OVERSEAS","Overseas/International fee rate","","","48712e9d"
"F","SEU","Scotland fee rate","Higher A1","","9a536419"
"F","OVERSEAS","Overseas/International fee rate","","","e46cc5c3"
"M","SEU","Scotland fee rate","Higher A1","","c45883a1"
"F","SEU","Scotland fee rate","AH C5","","a0758786"
"M","SEU","EU/EEA fee rate","","","40f854a8"
"M","SEU","EU/EEA fee rate","A-Level A*","FM A-Level A","9ebd8dff"
"M","SEU","Scotland fee rate","AH A1","","ef47d184"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A*","","e4da42bc"
"F","SEU","Scotland fee rate","AH A2","","558ee976"
"M","SEU","Scotland fee rate","AH D7","","11efd53e"
"M","SEU","Scotland fee rate","AH A2","","fe993954"
"F","SEU","Scotland fee rate","AH A2","","3fe6f9dc"
"M","SEU","Scotland fee rate","AH A2","","218592a0"
"F","SEU","Scotland fee rate","Higher A2","","f12624dd"
"F","SEU","Scotland fee rate","AH D7","","e3eebb25"
"M","SEU","Scotland fee rate","AH B4","","820ec46f"
"F","SEU","Scotland fee rate","AH D7","","97cefece"
"F","SEU","Scotland fee rate","Higher A2","","f69806fb"
"M","OVERSEAS","Overseas/International fee rate","IB HL H6","","5e99a1f1"
"M","SEU","Scotland fee rate","AH A2","","d28fd108"
"M","OVERSEAS","Overseas/International fee rate","A-Level A*","FM A-Level A","ad3207db"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A*","ce17a6a5"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A","","aa51d40"
"F","OVERSEAS","Overseas/International fee rate","IB HL H5","","19c655a9"
"M","SEU","Scotland fee rate","AH C6","","24d6d18a"
"F","SEU","Scotland fee rate","AH A2","","a92e4b8f"
"M","SEU","Scotland fee rate","A-Level A*","FM A-Level A","50f69461"
