"Gender","Fee.Status.Grouping","Fee.Status.Description","Maths.Grade","Further.Maths.Grade","AnonID"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A","FM A-Level B","f7ef72e0"
"M","SEU","Scotland fee rate","","","781b3000"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A","","d8a5f038"
"M","OVERSEAS","Overseas/International fee rate","","","54df00e"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","","4b898182"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A","fa693312"
"M","SEU","Scotland fee rate","Higher A2","","f75d2706"
"M","SEU","Scotland fee rate","AH B4","","8b6a209f"
"M","SEU","Scotland fee rate","AH C5","","847ead9f"
"M","OVERSEAS","Overseas/International fee rate","","","f0e1d509"
"M","OVERSEAS","Overseas/International fee rate","A-Level A*","","d89f54d5"
"M","OVERSEAS","Overseas/International fee rate","","","f900c5a6"
"M","SEU","EU/EEA fee rate","A-Level A*","FM A-Level A*","21bad796"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A*","b614e52"
"M","SEU","Scotland fee rate","AH A2","","2f60e47c"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A*","5539e9da"
"M","SEU","Scotland fee rate","Higher A2","","bb4f4228"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","","a4ae5e5d"
"F","SEU","Scotland fee rate","AH A1","","3d5f5222"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","","44986d36"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A","","1fb879ca"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","","48913356"
"M","SEU","Scotland fee rate","AH A2","","abc28ea1"
"M","SEU","EU/EEA fee rate","Leaving Cert H A1","","8c48eae5"
"M","SEU","EU/EEA fee rate","","","567bef02"
"F","OVERSEAS","Overseas/International fee rate","A-Level A","","7951516b"
"M","OVERSEAS","Overseas/International fee rate","A-Level A","FM A-Level B","b7bab257"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A","FM A-Level B","e7405838"
"F","OVERSEAS","Overseas/International fee rate","A-Level A*","","9b0c0337"
"M","SEU","EU/EEA fee rate","A-Level A*","FM A-Level A","d83bbd2c"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A","f0dd2a65"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A*","","6f12ed10"
"F","SEU","Scotland fee rate","Higher A2","","db441586"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A","","efad392b"
"M","SEU","Scotland fee rate","AH A1","","634e13c3"
"M","OVERSEAS","Overseas/International fee rate","A-Level A*","","92104f07"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level B","47383eff"
"M","SEU","Scotland fee rate","AH A2","","cfa64f1e"
"M","OVERSEAS","Overseas/International fee rate","","","9a17b3da"
"M","SEU","Scotland fee rate","AH C5","","1a72b308"
"M","SEU","Scotland fee rate","AH B3","","1b121cc"
"M","SEU","Scotland fee rate","AH A1","","541997a9"
"M","SEU","Scotland fee rate","Higher A2","","144ec6a8"
"F","SEU","Scotland fee rate","AH D7","","5464ce8"
"M","SEU","Scotland fee rate","AH B4","","6f68e0aa"
"F","OVERSEAS","Overseas/International fee rate","Higher A2","","9e43a559"
"F","SEU","Scotland fee rate","","","812afcb6"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A","4941b8d1"
"M","SEU","Scotland fee rate","AH A1","","40229bd"
"M","SEU","Scotland fee rate","AH A2","","77d795a2"
"F","SEU","Scotland fee rate","","","1e4eab4a"
"F","SEU","Scotland fee rate","AH B4","","27564ea6"
"M","SEU","Scotland fee rate","Higher A2","","fe5ee2d7"
"M","SEU","Scotland fee rate","Higher A1","","fab29514"
"M","OVERSEAS","Overseas/International fee rate","","","95ae80b3"
"M","OVERSEAS","Overseas/International fee rate","","","73d361e5"
"M","OVERSEAS","Overseas/International fee rate","","","190f6815"
"F","SEU","EU/EEA fee rate","","","35939595"
"M","OVERSEAS","Overseas/International fee rate","","","5d6f851e"
"M","OVERSEAS","Overseas/International fee rate","","","f5da3b4e"
"M","OVERSEAS","Overseas/International fee rate","","","fc6ba4ea"
"M","OVERSEAS","Overseas/International fee rate","","","a0a28f57"
"M","SEU","EU/EEA fee rate","","","967e4659"
"F","OVERSEAS","Overseas/International fee rate","A-Level A","FM A-Level A","182b4b31"
"F","OVERSEAS","Overseas/International fee rate","","","39db4084"
"F","OVERSEAS","Overseas/International fee rate","","","343ea45e"
"M","OVERSEAS","Overseas/International fee rate","","","7dcdfbde"
"F","SEU","EU/EEA fee rate","","","7c83752a"
"F","OVERSEAS","Overseas/International fee rate","A-Level A*","FM A-Level A","54e54cd7"
"M","OVERSEAS","Overseas/International fee rate","","","b4ef237c"
"F","SEU","EU/EEA fee rate","","","72f5c478"
"M","OVERSEAS","Overseas/International fee rate","A-Level A","","ca94a06b"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A*","8e05a7b4"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A*","FM A-Level A*","cd459ebd"
"M","SEU","Scotland fee rate","AH A1","","20f6ace3"
"M","OVERSEAS","Overseas/International fee rate","","FM A-Level A","b344fd82"
"F","RUK","England/Wales/N Ireland fee rate","A-Level A","FM A-Level B","2b2f1d16"
"M","RUK","England/Wales/N Ireland fee rate","A-Level A","","87481660"
"M","SEU","EU/EEA fee rate","","","b295cabb"
